"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-01-01","11.86","0.00","0.0","28","42","21"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-01-02","11.63","0.00","0.0","42","48","37"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-01-03","6.04","0.00","0.0","38","41","33"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-01-04","9.17","0.03","0.5","32","33","26"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-01-05","13.87","0.00","0.0","31","42","24"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-01-06","9.62","0.00","0.0","34","42","27"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-01-07","10.74","0.00","0.0","34","40","28"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-01-08","11.18","0.00","0.0","24","29","14"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-01-09","16.11","0.02","0.0","32","50","23"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-01-10","11.41","0.84","0.0","46","50","36"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-01-11","25.05","0.37","2.1","34","37","25"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-01-12","6.49","0.00","0.0","26","31","23"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-01-13","8.28","0.00","0.2","31","33","31"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-01-14","8.50","0.00","0.0","35","39","25"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-01-15","8.05","0.00","0.0","32","36","25"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-01-16","11.63","0.00","0.0","25","29","11"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-01-17","10.51","0.37","3.1","19","29","11"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-01-18","15.88","0.40","0.0","29","35","5"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-01-19","12.97","0.00","0.0","9","19","2"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-01-20","6.71","0.00","0.0","21","31","17"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-01-21","7.61","0.00","0.0","21","29","15"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-01-22","12.30","0.00","0.0","27","34","24"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-01-23","7.61","0.17","0.9","32","34","29"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-01-24","4.70","0.40","0.0","35","37","32"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-01-25","8.28","0.12","0.4","33","34","32"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-01-26","9.40","0.00","0.0","32","33","27"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-01-27","5.82","0.00","0.0","30","35","27"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-01-28","5.82","0.00","0.0","32","33","31"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-01-29","4.70","0.00","0.0","32","34","30"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-01-30","3.58","0.00","0.0","33","35","32"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-01-31","5.37","0.08","0.6","34","37","32"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-02-01","11.41","0.01","0.0","36","38","34"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-02-02","14.32","0.00","0.0","41","52","35"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-02-03","9.62","0.00","0.0","39","48","30"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-02-04","21.70","0.00","0.0","36","39","31"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-02-05","12.75","0.07","1.0","30","33","27"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-02-06","12.97","0.05","1.4","29","30","27"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-02-07","7.83","0.00","0.2","30","38","24"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-02-08","6.26","0.00","0.0","32","37","28"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-02-09","10.07","0.14","1.0","31","37","25"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-02-10","5.82","0.00","0.0","32","39","26"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-02-11","9.62","0.00","0.0","31","35","26"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-02-12","5.37","0.18","2.0","30","37","24"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2020-02-13","12.30","0.03","1.5","24","32","4"
