"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-01-01","13.20","0.00","0.0","47","56","40"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-01-02","10.74","0.00","0.0","54","61","45"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-01-03","12.53","0.00","0.0","51","61","42"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-01-04","5.82","0.00","0.0","47","58","34"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-01-05","8.50","0.00","0.0","51","69","38"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-01-06","7.83","0.00","0.0","50","65","38"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-01-07","6.04","0.00","0.0","50","64","34"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-01-08","13.65","0.00","0.0","50","64","36"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-01-09","16.11","0.00","0.0","61","70","58"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-01-10","15.21","1.47","0.0","67","70","42"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-01-11","13.65","0.07","0.2","43","43","30"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-01-12","8.95","0.00","0.0","38","57","30"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-01-13","8.05","0.00","0.0","47","61","39"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-01-14","7.16","0.00","0.0","62","73","57"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-01-15","10.51","0.00","0.0","68","81","59"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-01-16","13.87","2.10","0.0","55","59","45"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-01-17","7.38","0.28","0.0","50","62","48"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-01-18","16.11","0.01","0.0","56","61","37"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-01-19","6.71","0.00","0.0","43","54","32"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-01-20","4.03","0.00","0.0","45","57","34"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-01-21","8.05","0.02","0.0","44","53","32"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-01-22","12.53","0.46","0.0","42","45","39"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-01-23","10.29","0.04","0.0","47","58","44"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-01-24","9.40","0.00","0.0","48","59","38"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-01-25","11.18","0.00","0.0","50","65","38"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-01-26","8.28","0.00","0.0","57","63","47"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-01-27","6.49","0.00","0.0","51","65","39"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-01-28","15.21","0.51","0.0","53","62","40"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-01-29","15.88","0.04","0.0","42","45","38"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-01-30","5.82","0.00","0.0","42","45","39"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-01-31","7.61","0.00","0.0","45","56","42"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2020-02-01","6.71","0.00","0.0","49","66","33"
