"","JNJ.Open","JNJ.High","JNJ.Low","JNJ.Close","JNJ.Volume","JNJ.Adjusted"
"2013-04-02",82,82.690002,81.900002,82.690002,10342200,63.488697
"2013-04-03",82.739998,82.949997,81.57,82.07,12254000,63.012669
"2013-04-04",82.199997,82.720001,81.93,82.410004,10303000,63.273712
"2013-04-05",81.790001,82.110001,81.620003,82.040001,8581400,62.989635
"2013-04-08",81.269997,81.389999,80.309998,81.110001,15828500,62.275597
"2013-04-09",81.260002,81.75,81.239998,81.519997,9111000,62.590374
"2013-04-10",81.830002,82.199997,81.739998,82.019997,7583200,62.974277
"2013-04-11",82.139999,82.959999,82.080002,82.32,9882700,63.20462
"2013-04-12",82.25,82.739998,82.169998,82.739998,6987000,63.527096
"2013-04-15",82.720001,83.089996,81.709999,81.709999,12385800,62.736248
"2013-04-16",82.330002,83.540001,82.07,83.440002,12620000,64.06456
"2013-04-17",83.360001,84.43,83.290001,83.900002,13693300,64.417717
"2013-04-18",83.959999,84.300003,83.029999,83.18,9921500,63.864929
"2013-04-19",83.510002,84.57,83.470001,84.489998,10787600,64.870735
"2013-04-22",84.589996,84.93,84.199997,84.830002,6989900,65.13179
"2013-04-23",84.989998,85.68,84,85.449997,8982100,65.607788
"2013-04-24",85.68,85.739998,84.279999,84.389999,9480600,64.793945
"2013-04-25",84.540001,85.440002,84.339996,85.220001,8689400,65.431229
"2013-04-26",85.300003,85.489998,84.809998,85.120003,6784700,65.354431
"2013-04-29",85.019997,85.889999,84.910004,85.580002,8038000,65.707626
"2013-04-30",85.389999,85.699997,84.889999,85.230003,12099600,65.438896
"2013-05-01",84.5,85.129997,83.879997,84.230003,12312100,64.671112
"2013-05-02",84.440002,85.209999,84.169998,85.160004,8668900,65.385162
"2013-05-03",85.580002,85.989998,85.449997,85.75,9213800,65.838142
"2013-05-06",85.779999,85.779999,84.550003,84.68,8815600,65.016617
"2013-05-07",84.870003,85.57,84.629997,85.529999,9061800,65.669228
"2013-05-08",85.480003,85.599998,84.93,85.459999,8044600,65.615486
"2013-05-09",85.449997,85.690002,84.959999,85.150002,8342000,65.37748
"2013-05-10",85.290001,85.760002,85.18,85.760002,7594800,65.845856
"2013-05-13",85.559998,86.07,85.440002,85.849998,6631500,65.914917
"2013-05-14",85.760002,87.080002,85.760002,86.970001,10360700,66.774849
"2013-05-15",86.940002,87.879997,86.940002,87.639999,13444400,67.289261
"2013-05-16",87.330002,87.769997,87.059998,87.449997,9441900,67.143379
"2013-05-17",87.470001,88.199997,87.410004,88.089996,11437700,67.634796
"2013-05-20",88.099998,88.199997,87.809998,88.010002,7235800,67.573387
"2013-05-21",87.940002,88.639999,87.790001,88.589996,10099600,68.018669
"2013-05-22",88.699997,89.989998,88.199997,88.459999,13825900,67.918861
"2013-05-23",87.110001,87.970001,87,87.209999,14446900,67.462456
"2013-05-24",86.800003,87.029999,86.489998,86.82,10390100,67.160751
"2013-05-28",87.540001,88.290001,87.269997,87.610001,8380200,67.771896
"2013-05-29",87.080002,87.160004,85.139999,85.650002,11872100,66.255707
"2013-05-30",85.709999,86.309998,85.68,85.989998,7801200,66.5187
"2013-05-31",85.68,85.989998,84.18,84.18,13302700,65.118591
"2013-06-03",84.279999,84.709999,83.370003,84.709999,11768500,65.528534
"2013-06-04",84.720001,85.029999,83.559998,84.099998,9972000,65.056671
"2013-06-05",83.910004,85,83.480003,83.68,9839100,64.731796
"2013-06-06",83.589996,84.459999,82.650002,84.459999,10671000,65.335152
"2013-06-07",84.959999,85.18,84.400002,84.910004,8907700,65.683235
"2013-06-10",85.010002,85.709999,84.730003,85.139999,8477100,65.861176
"2013-06-11",84.760002,85.019997,84.129997,84.690002,8967000,65.513107
"2013-06-12",85.18,85.5,83.699997,83.739998,8413200,64.778175
"2013-06-13",83.599998,84.959999,83.080002,84.910004,8570000,65.683235
"2013-06-14",84.709999,85.480003,84.660004,84.910004,6357100,65.683235
"2013-06-17",85.370003,86.400002,84.980003,85.629997,8429100,66.240227
"2013-06-18",85.75,86.440002,85.629997,86.360001,7233600,66.804924
"2013-06-19",86.43,86.5,84.800003,84.860001,8288400,65.644562
"2013-06-20",84.209999,84.449997,82.120003,82.620003,15172600,63.9118
"2013-06-21",83,84.32,82.5,83.199997,20715800,64.360466
"2013-06-24",82.919998,85.309998,82.809998,84.610001,14777500,65.45118
"2013-06-25",85.160004,85.589996,84.540001,85.349998,11239400,66.023628
"2013-06-26",85.949997,87.32,85.940002,86.989998,11966500,67.292259
"2013-06-27",87.529999,87.82,86.489998,86.709999,8890300,67.075676
"2013-06-28",86.720001,87.379997,85.849998,85.860001,11896300,66.418137
"2013-07-01",85.720001,87.639999,85.5,86.629997,9905200,67.013794
"2013-07-02",86.650002,87.199997,86.209999,86.57,8572100,66.967369
"2013-07-03",86.540001,87.040001,86.099998,86.779999,3599900,67.129837
"2013-07-05",87.580002,87.879997,86.919998,87.870003,5403600,67.973
"2013-07-08",88.089996,88.989998,87.970001,88.589996,12051400,68.529976
"2013-07-09",88.650002,89.080002,88.360001,88.879997,9348600,68.754295
"2013-07-10",88.879997,89.480003,88.809998,89.239998,7067100,69.032776
"2013-07-11",89.809998,89.93,89,89.669998,8941300,69.36541
"2013-07-12",89.690002,89.989998,89.379997,89.989998,7590600,69.612968
"2013-07-15",89.910004,90.809998,89.760002,90.400002,13343200,69.930115
"2013-07-16",91.040001,91.660004,90.129997,90.400002,11409200,69.930115
"2013-07-17",90.580002,90.970001,89.879997,90.129997,12832200,69.721252
"2013-07-18",90.330002,90.949997,90.059998,90.169998,8329300,69.752205
"2013-07-19",90.239998,92.269997,90.050003,92.230003,12506300,71.345741
"2013-07-22",92.080002,92.559998,91.610001,92.279999,9916200,71.384422
"2013-07-23",92.389999,92.860001,92.110001,92.419998,8467700,71.492729
"2013-07-24",92.650002,92.660004,91.75,92.360001,6846300,71.446304
"2013-07-25",92,92.75,91.75,92.57,7368000,71.608757
"2013-07-26",92.32,92.93,91.650002,92.830002,8663700,71.809898
"2013-07-29",92.629997,93.389999,92.610001,93.209999,7925000,72.103821
"2013-07-30",93.470001,93.970001,93.019997,93.169998,8863000,72.072884
"2013-07-31",93.230003,94.419998,93.190002,93.5,11365700,72.328163
"2013-08-01",94.160004,94.400002,93.699997,93.769997,11098600,72.537025
"2013-08-02",93.559998,94.389999,93.449997,94.389999,8503100,73.016624
"2013-08-05",94.050003,94.300003,93.43,93.800003,7192400,72.560242
"2013-08-06",93.879997,93.940002,93.5,93.809998,6415000,72.567978
"2013-08-07",93.599998,94.029999,93.470001,93.660004,9056900,72.45195
"2013-08-08",94.269997,94.370003,92.709999,93.339996,11090000,72.204414
"2013-08-09",93.389999,93.389999,91.779999,92.360001,12135800,71.446304
"2013-08-12",92.080002,92.769997,91.75,92,11012300,71.167824
"2013-08-13",91.889999,93.349998,91.760002,93.010002,10099800,71.949112
"2013-08-14",92.790001,92.949997,90.510002,90.699997,12716800,70.162186
"2013-08-15",90.32,90.410004,89.089996,89.550003,12010700,69.272614
"2013-08-16",89.129997,89.800003,88.769997,89.370003,14100700,69.133339
"2013-08-19",89.470001,91.25,89.349998,90.449997,8687000,69.968803
"2013-08-20",90.550003,91.650002,89.730003,89.730003,8559200,69.411842
"2013-08-21",89.470001,89.629997,88.68,88.800003,7940700,68.692421
"2013-08-22",88.760002,89.029999,88.120003,88.260002,7191900,68.274712
"2013-08-23",87.93,88.440002,87.209999,88.410004,7714900,68.905991
"2013-08-26",88.360001,88.480003,87.389999,87.529999,6724500,68.220131
"2013-08-27",86.970001,87.080002,85.959999,86.169998,9941200,67.160172
"2013-08-28",86.360001,86.910004,85.879997,86.529999,8829200,67.44075
"2013-08-29",86.410004,87.139999,85.989998,86.57,5768800,67.471916
"2013-08-30",86.779999,86.779999,85.849998,86.410004,7471300,67.347229
"2013-09-03",86.889999,87.300003,86.029999,86.419998,7590500,67.355011
"2013-09-04",86.459999,87.25,86.25,86.900002,8458800,67.729126
"2013-09-05",87,87.169998,86.620003,87.040001,5647900,67.838219
"2013-09-06",87.220001,87.919998,86,87.160004,10034900,67.931763
"2013-09-09",87.389999,87.599998,87.010002,87.559998,6819700,68.24353
"2013-09-10",88.139999,88.580002,87.849998,88.529999,8658700,68.999535
"2013-09-11",88.629997,89.269997,88.139999,89.230003,8098100,69.545097
"2013-09-12",89.300003,89.57,88.879997,89.010002,7938500,69.373665
"2013-09-13",89.129997,89.25,88.199997,88.57,7738600,69.030731
"2013-09-16",89.43,89.57,88.830002,89.029999,7563700,69.389214
"2013-09-17",89.050003,89.220001,88.580002,89.059998,6291100,69.412605
"2013-09-18",88.910004,89.910004,88.300003,89.910004,10115500,70.075089
"2013-09-19",90.050003,90.199997,89.790001,90.07,6721000,70.199791
"2013-09-20",90.199997,90.720001,89.68,89.68,14708600,69.895851
"2013-09-23",89.43,89.75,88.809998,89.089996,7376200,69.435989
"2013-09-24",89.019997,89.199997,88.150002,88.220001,7797500,68.757904
"2013-09-25",88.419998,88.470001,87.07,87.080002,7493200,67.8694
"2013-09-26",87.279999,87.699997,86.720001,87.07,6400600,67.86161
"2013-09-27",86.809998,86.940002,86.440002,86.730003,5461100,67.596664
"2013-09-30",86.330002,86.949997,86.150002,86.690002,7962300,67.565445
"2013-10-01",86.589996,87.489998,86.260002,87.470001,6318700,68.173386
"2013-10-02",87.129997,87.290001,86.440002,87.290001,6383400,68.033089
"2013-10-03",87.190002,87.400002,86.279999,86.580002,7724600,67.479713
"2013-10-04",86.82,87.419998,86.559998,87.309998,6050000,68.04866
"2013-10-07",86.699997,86.980003,86.290001,86.589996,5705200,67.487511
"2013-10-08",86.620003,86.739998,85.57,85.610001,8669800,66.723686
"2013-10-09",85.93,86.230003,85.5,85.959999,8014200,66.996468
"2013-10-10",86.720001,87.779999,86.699997,87.779999,8647900,68.414978
"2013-10-11",88.620003,89.480003,88.019997,89.449997,8449800,69.716568
"2013-10-14",88.830002,89.889999,88.629997,89.800003,9198600,69.989388
"2013-10-15",90.330002,91.459999,89.93,89.93,11024000,70.090675
"2013-10-16",90.419998,91.169998,90.160004,91.110001,8116000,71.010361
"2013-10-17",90.870003,92,90.769997,91.970001,8569600,71.680649
"2013-10-18",91.75,92.050003,91.139999,91.629997,9082600,71.415642
"2013-10-21",91.629997,91.629997,90.769997,91.199997,6940500,71.080498
"2013-10-22",91.529999,92.559998,91.5,92.360001,9635500,71.984596
"2013-10-23",92.07,92.43,91.519997,92.099998,6449600,71.78196
"2013-10-24",92.650002,92.989998,92.139999,92.349998,5251000,71.976799
"2013-10-25",92.040001,92.269997,91.779999,92.089996,6076000,71.77417
"2013-10-28",91.959999,92.800003,91.919998,92.389999,6551000,72.007996
"2013-10-29",92.800003,93.18,92.580002,93.139999,6096700,72.592522
"2013-10-30",93.269997,93.449997,92.650002,92.790001,6295400,72.319733
"2013-10-31",92.849998,93.349998,92.32,92.610001,7773900,72.179443
"2013-11-01",92.379997,93.580002,92.379997,93.370003,6835900,72.771797
"2013-11-04",93.459999,93.5,92.43,93.029999,6862500,72.506798
"2013-11-05",92.540001,92.949997,92.279999,92.809998,5350600,72.335335
"2013-11-06",93.029999,93.199997,92.720001,93.040001,5301300,72.514572
"2013-11-07",93.190002,93.349998,92.690002,92.690002,6116900,72.241821
"2013-11-08",92.629997,94.099998,92.559998,94.050003,7229500,73.301788
"2013-11-11",93.970001,94.639999,93.940002,94.290001,4723100,73.488831
"2013-11-12",93.980003,94.089996,93,93.559998,7639600,72.919868
"2013-11-13",93.360001,93.449997,92.32,93.339996,8954300,72.748421
"2013-11-14",93.400002,94.139999,93.400002,93.919998,7045700,73.200447
"2013-11-15",93.629997,94.400002,93.550003,94.389999,7063000,73.56675
"2013-11-18",94.360001,94.599998,94.010002,94.300003,8492000,73.496651
"2013-11-19",94.269997,94.919998,94,94.860001,6624200,73.93309
"2013-11-20",94.940002,95.470001,94.660004,95.150002,7076500,74.159111
"2013-11-21",95.459999,95.75,95.050003,95.199997,6896200,74.198067
"2013-11-22",94.389999,95.580002,94.389999,95.25,6462100,74.755302
"2013-11-25",95.489998,95.989998,95.080002,95.629997,6374600,75.053543
"2013-11-26",95.580002,95.870003,94.970001,95.059998,7267600,74.606186
"2013-11-27",95.339996,95.370003,94.610001,94.980003,4603800,74.543411
"2013-11-29",95.230003,95.5,94.43,94.660004,4106800,74.292252
"2013-12-02",94.410004,94.660004,93.970001,94.279999,5827400,73.994019
"2013-12-03",94.199997,94.559998,93.510002,93.970001,9061100,73.750748
"2013-12-04",93.760002,94.25,93.129997,93.629997,6218500,73.483864
"2013-12-05",93.419998,93.629997,92.660004,92.970001,8666200,72.965889
"2013-12-06",93.599998,94.480003,93.419998,94.440002,7280400,74.119598
"2013-12-09",94.300003,94.480003,93.699997,94.440002,6974500,74.119598
"2013-12-10",94.580002,94.790001,93.959999,94.139999,7576600,73.884171
"2013-12-11",94.400002,94.449997,93.029999,93.110001,9424300,73.075768
"2013-12-12",92.839996,92.860001,91.07,91.160004,12285700,71.545341
"2013-12-13",91.459999,91.860001,91.080002,91.349998,7909000,71.694458
"2013-12-16",91.419998,92.32,91.160004,91.370003,6623000,71.710159
"2013-12-17",91.300003,91.330002,90.5,90.660004,8794000,71.152924
"2013-12-18",90.949997,92.660004,89.769997,92.639999,9691100,72.706894
"2013-12-19",92.400002,92.400002,91.419998,91.980003,7341000,72.188911
"2013-12-20",91.949997,92.75,91.949997,92.089996,11265000,72.27523
"2013-12-23",92.559998,92.68,91.760002,92.029999,5312200,72.228142
"2013-12-24",92.18,92.389999,91.849998,92.059998,3147300,72.251694
"2013-12-26",91.989998,92.540001,91.769997,92.540001,3459100,72.628426
"2013-12-27",92.769997,92.959999,92.18,92.349998,3511300,72.479301
"2013-12-30",92.160004,92.300003,91.730003,92.300003,4370100,72.440041
"2013-12-31",92.169998,92.220001,91.150002,91.589996,6348200,71.882835
"2014-01-02",91.139999,91.730003,91.010002,91.029999,5919600,71.443298
"2014-01-03",91.290001,92.220001,91.260002,91.849998,5637600,72.086891
"2014-01-06",91.93,92.75,91.870003,92.330002,7443500,72.463585
"2014-01-07",93.040001,94.620003,92.989998,94.290001,11063300,74.001854
"2014-01-08",94.169998,94.599998,93.879997,94.160004,9096700,73.899849
"2014-01-09",94.940002,95.379997,94.089996,94.730003,7944700,74.347229
"2014-01-10",94.639999,94.980003,94.139999,94.739998,6697400,74.355019
"2014-01-13",94.370003,94.989998,94.059998,94.5,9589200,74.166687
"2014-01-14",94.599998,94.900002,94.32,94.720001,7567300,74.33934
"2014-01-15",94.650002,95.269997,94.510002,94.800003,7390700,74.402122
"2014-01-16",94.599998,95.089996,94.230003,94.639999,8401100,74.276558
"2014-01-17",94.720001,95.169998,94.379997,95.059998,13714400,74.606186
"2014-01-21",94.93,95.099998,92.620003,94.029999,16368400,73.797791
"2014-01-22",93.989998,94.550003,93.540001,94.32,8875500,74.025406
"2014-01-23",93.739998,93.800003,92.410004,92.739998,9322300,72.785393
"2014-01-24",92.120003,92.610001,90.610001,90.610001,10604200,71.113686
"2014-01-27",90.300003,90.760002,89.849998,89.940002,8685200,70.587837
"2014-01-28",90.580002,90.599998,89.790001,90.099998,8254400,70.713432
"2014-01-29",89.470001,89.709999,88.529999,88.900002,11160100,69.771629
"2014-01-30",89.620003,89.779999,89.010002,89.5,6874900,70.2425
"2014-01-31",89.010002,89.339996,88.150002,88.470001,12193800,69.434166
"2014-02-03",88.75,88.779999,86.610001,86.779999,13944600,68.107796
"2014-02-04",86.93,87.279999,86.089996,86.620003,11436400,67.982216
"2014-02-05",86.489998,87.669998,86.480003,87.279999,10667300,68.500175
"2014-02-06",87.629997,88.760002,87.550003,88.75,10037900,69.6539
"2014-02-07",88.919998,90.040001,88.610001,90.040001,9435100,70.666328
"2014-02-10",90.239998,91.080002,89.800003,91.07,8080200,71.474709
"2014-02-11",91.089996,92.970001,90.949997,92.970001,11556300,72.965889
"2014-02-12",92.949997,92.989998,91.949997,92.419998,7696100,72.534225
"2014-02-13",92,92.620003,91.709999,92.559998,5926000,72.644096
"2014-02-14",92.599998,92.949997,92.029999,92.760002,5485100,72.801048
"2014-02-18",92.769997,92.849998,92.089996,92.169998,6926500,72.338005
"2014-02-19",92.150002,92.75,91.57,91.639999,7693400,71.922073
"2014-02-20",91.690002,92.730003,91.309998,92.379997,8160100,72.502831
"2014-02-21",91.860001,92.25,91.449997,91.519997,7381500,72.344734
"2014-02-24",91.449997,92.059998,91.099998,91.110001,8406700,72.020638
"2014-02-25",91.589996,91.870003,90.660004,91.110001,6383400,72.020638
"2014-02-26",91.110001,91.540001,90.769997,91.110001,6334100,72.020638
"2014-02-27",91.160004,91.419998,90.75,91.360001,7040300,72.218277
"2014-02-28",91.419998,92.639999,91.059998,92.120003,9643700,72.819046
"2014-03-03",91.129997,91.980003,90.830002,91.559998,7506700,72.376381
"2014-03-04",92.470001,93.459999,92.25,93.339996,8796300,73.783424
"2014-03-05",93.269997,93.300003,92.379997,92.589996,6842500,73.190544
"2014-03-06",93.190002,93.650002,92.82,92.889999,7718300,73.427681
"2014-03-07",93.370003,93.480003,92.690002,93.32,6792000,73.767616
"2014-03-10",93.169998,93.489998,92.790001,93.449997,4878200,73.870361
"2014-03-11",93.709999,93.75,93.089996,93.489998,5837200,73.902
"2014-03-12",92.82,93.620003,92.650002,93.599998,6154900,73.98893
"2014-03-13",93.849998,94.199997,92.980003,93,7659400,73.514656
"2014-03-14",92.879997,93.440002,92.459999,92.809998,7337800,73.364464
"2014-03-17",93.260002,94.18,93.18,93.93,5872600,74.249794
"2014-03-18",93.900002,94.239998,93.480003,93.940002,5891900,74.257729
"2014-03-19",93.889999,94.360001,92.919998,93.589996,5937600,73.981033
"2014-03-20",93.519997,94.190002,92.959999,94.120003,5727400,74.399979
"2014-03-21",94.769997,95.93,93.879997,95.93,23988800,75.830788
"2014-03-24",95.300003,95.43,94.540001,95.199997,13944100,75.2537
"2014-03-25",95.699997,97.699997,95.699997,97.379997,14167300,76.976959
"2014-03-26",97.510002,98.470001,97.050003,97.050003,11215100,76.716095
"2014-03-27",97.080002,97.699997,96.260002,97.279999,8694600,76.897903
"2014-03-28",97.510002,98.220001,96.959999,97.440002,8816000,77.024361
"2014-03-31",98,98.599998,97.610001,98.230003,7545700,77.648857
"2014-04-01",98.309998,98.68,97.370003,97.940002,7068500,77.419632
"2014-04-02",98.010002,98.389999,97.370003,98.230003,7995600,77.648857
"2014-04-03",97.970001,98.339996,97.529999,98.260002,5471200,77.672592
"2014-04-04",98.620003,99.379997,98.32,98.419998,10309700,77.799065
"2014-04-07",98.389999,99.360001,97.830002,97.889999,11409200,77.380104
"2014-04-08",98.029999,98.730003,97.5,98.059998,9601800,77.514473
"2014-04-09",98.419998,99,97.779999,98.949997,8921300,78.21801
"2014-04-10",98.860001,98.93,96.519997,96.540001,9667800,76.31295
"2014-04-11",96.199997,97.199997,96.050003,96.870003,8710700,76.57383
"2014-04-14",97.279999,97.360001,96.25,97.139999,8617200,76.787254
"2014-04-15",98.449997,99.209999,98.050003,99.199997,13999100,78.415634
"2014-04-16",99.57,99.709999,98.07,98.75,11308000,78.059891
"2014-04-17",98.690002,99.650002,98.690002,98.959999,9153500,78.225922
"2014-04-21",99.010002,100.129997,98.669998,100,7031400,79.048035
"2014-04-22",100,100.75,99.739998,100.18,7937900,79.190292
"2014-04-23",100.239998,100.559998,99.919998,100.220001,5876000,79.221909
"2014-04-24",100.239998,100.370003,99.550003,99.959999,6149900,79.016396
"2014-04-25",99.970001,100.260002,99.400002,99.790001,5895900,78.882011
"2014-04-28",100.559998,101.5,100.120003,101.339996,8792900,80.107254
"2014-04-29",101.629997,101.980003,100.959999,101.029999,7811200,79.862221
"2014-04-30",100.839996,101.669998,100.699997,101.290001,8513600,80.067749
"2014-05-01",100.769997,101.029999,99.93,100.529999,6590500,79.466949
"2014-05-02",100.169998,100.379997,98.879997,99.309998,8744200,78.502594
"2014-05-05",99.290001,100.169998,99.040001,100,5438200,79.048035
"2014-05-06",100.019997,100.019997,99.510002,99.510002,5795900,78.660683
"2014-05-07",99.849998,101.050003,99.349998,100.910004,8720800,79.767357
"2014-05-08",100.669998,101.089996,100.360001,100.5,5667900,79.44326
"2014-05-09",100.860001,101.25,100.410004,100.910004,5691700,79.767357
"2014-05-12",101.239998,101.239998,100.419998,100.519997,7437300,79.459076
"2014-05-13",100.900002,101.489998,100.629997,101.019997,6183200,79.854286
"2014-05-14",100.949997,101.099998,100.769997,100.870003,4187200,79.735718
"2014-05-15",100.639999,100.839996,100.410004,100.690002,7007600,79.593445
"2014-05-16",100.57,100.889999,100.139999,100.580002,6516900,79.506485
"2014-05-19",100.220001,100.93,100.129997,100.639999,6997200,79.553909
"2014-05-20",100.809998,100.980003,99.959999,100.25,5438400,79.245651
"2014-05-21",100.599998,101.199997,100.529999,101.139999,5302500,79.949181
"2014-05-22",100.580002,101.010002,100.080002,100.959999,5124900,80.363052
"2014-05-23",101.040001,101.160004,100.669998,100.980003,5275700,80.378983
"2014-05-27",101.099998,101.360001,100.269997,100.809998,4524400,80.24366
"2014-05-28",100.669998,100.93,100.120003,100.300003,4352700,79.837746
"2014-05-29",100.559998,100.800003,100.150002,100.760002,3685200,80.20388
"2014-05-30",100.699997,101.540001,100.550003,101.459999,5973900,80.76107
"2014-06-02",101.540001,102.260002,101.010002,102.169998,5845400,81.326202
"2014-06-03",101.910004,102.599998,101.839996,102.459999,6681300,81.557076
"2014-06-04",102.230003,102.709999,101.940002,102.68,5608600,81.73217
"2014-06-05",102.779999,103.360001,102.419998,103.220001,4730900,82.162018
"2014-06-06",103.25,103.330002,102.839996,103.18,4624000,82.130157
"2014-06-09",103.07,103.230003,102.68,103.220001,3748800,82.162018
"2014-06-10",103.470001,104.120003,102.769997,104.099998,5792100,82.862457
"2014-06-11",103.809998,104.150002,103.129997,103.32,5960500,82.241615
"2014-06-12",103.18,103.209999,102.510002,102.529999,5930700,81.61277
"2014-06-13",102.510002,102.650002,102.169998,102.529999,4301600,81.61277
"2014-06-16",102.519997,102.889999,101.839996,102.449997,5645500,81.549103
"2014-06-17",102.129997,102.199997,101.379997,101.93,4834600,81.135185
"2014-06-18",101.910004,102.830002,101.860001,102.809998,5445000,81.835648
"2014-06-19",102.93,103.870003,102.809998,103.809998,5481500,82.63166
"2014-06-20",104.370003,105.480003,104.07,105.269997,12459700,83.7938
"2014-06-23",104.910004,105.120003,104.440002,104.75,6063200,83.379875
"2014-06-24",104.629997,105.230003,104.550003,104.589996,5915000,83.252525
"2014-06-25",104.230003,105.870003,104.230003,105.760002,6411100,84.183823
"2014-06-26",105.839996,105.970001,105.029999,105.650002,5106900,84.096268
"2014-06-27",105.470001,105.589996,104.449997,104.989998,6463000,83.570908
"2014-06-30",105.620003,106,104.519997,104.620003,6877800,83.276413
"2014-07-01",105.150002,106,104.989998,105.870003,5129200,84.271393
"2014-07-02",105.699997,105.970001,105.300003,105.860001,3764900,84.263412
"2014-07-03",105.870003,106.25,105.110001,105.419998,4199100,83.913185
"2014-07-07",105.419998,106.739998,105.269997,106.470001,7014900,84.749008
"2014-07-08",106.209999,106.25,105.519997,105.720001,6268400,84.152
"2014-07-09",106,106.209999,105.720001,106.040001,5720900,84.406685
