Date,Open,High,Low,Close
12/31/2015,"915.38","905.19","905.19","905.19"
12/30/2015,"920.59","915.47","915.47","915.47"
12/29/2015,"910.42","920.57","920.57","920.57"
12/28/2015,"909.68","910.30","910.30","910.30"
12/24/2015,"911.76","910.45","910.45","910.45"
12/23/2015,"904.19","911.62","911.62","911.62"
12/22/2015,"900.78","904.11","904.11","904.11"
12/21/2015,"889.82","900.75","900.75","900.75"
12/18/2015,"893.87","889.81","889.81","889.81"
12/17/2015,"907.25","894.03","894.03","894.03"
12/16/2015,"898.72","907.63","907.63","907.63"
12/15/2015,"892.50","898.71","898.71","898.71"
12/14/2015,"891.64","892.28","892.28","892.28"
12/11/2015,"909.45","891.58","891.58","891.58"
12/10/2015,"902.88","909.68","909.68","909.68"
12/09/2015,"909.19","902.84","902.84","902.84"
12/08/2015,"909.40","908.10","908.10","908.10"
12/07/2015,"910.48","909.60","909.60","909.60"
12/04/2015,"885.65","910.70","910.70","910.70"
12/03/2015,"904.54","885.53","885.53","885.53"
12/02/2015,"907.35","904.19","904.19","904.19"
12/01/2015,"900.29","907.46","907.46","907.46"
11/30/2015,"904.25","899.97","899.97","899.97"
11/27/2015,"903.15","904.53","904.53","904.53"
11/25/2015,"901.98","905.44","905.44","905.44"
11/24/2015,"906.74","902.07","902.07","902.07"
11/23/2015,"900.96","907.37","907.37","907.37"
11/20/2015,"902.51","900.93","900.93","900.93"
11/19/2015,"897.96","902.44","902.44","902.44"
11/18/2015,"885.84","897.79","897.79","897.79"
11/17/2015,"888.41","886.27","886.27","886.27"
11/16/2015,"885.20","888.55","888.55","888.55"
11/13/2015,"899.59","885.25","885.25","885.25"
11/12/2015,"911.51","899.69","899.69","899.69"
11/11/2015,"914.35","911.95","911.95","911.95"
11/10/2015,"906.95","914.23","914.23","914.23"
11/09/2015,"916.98","907.12","907.12","907.12"
11/06/2015,"917.22","917.77","917.77","917.77"
11/05/2015,"914.52","917.32","917.32","917.32"
11/04/2015,"918.56","914.37","914.37","914.37"
11/03/2015,"917.90","918.96","918.96","918.96"
11/02/2015,"920.14","918.03","918.03","918.03"
10/30/2015,"922.99","919.95","919.95","919.95"
10/29/2015,"926.48","922.93","922.93","922.93"
10/28/2015,"920.67","927.86","927.86","927.86"
10/27/2015,"921.15","920.64","920.64","920.64"
10/26/2015,"915.31","921.37","921.37","921.37"
10/23/2015,"907.18","915.29","915.29","915.29"
10/22/2015,"877.15","904.75","904.75","904.75"
10/21/2015,"887.19","876.94","876.94","876.94"
10/20/2015,"887.57","887.21","887.21","887.21"
10/19/2015,"884.16","887.64","887.64","887.64"
10/16/2015,"877.35","884.29","884.29","884.29"
10/15/2015,"866.05","876.71","876.71","876.71"
10/14/2015,"882.36","865.33","865.33","865.33"
10/13/2015,"886.37","882.65","882.65","882.65"
10/12/2015,"882.77","887.08","887.08","887.08"
10/09/2015,"877.21","881.65","881.65","881.65"
10/08/2015,"866.33","877.13","877.13","877.13"
10/07/2015,"880.95","866.43","866.43","866.43"
10/06/2015,"884.47","880.86","880.86","880.86"
10/05/2015,"871.32","884.54","884.54","884.54"
10/02/2015,"858.99","871.27","871.27","871.27"
10/01/2015,"854.55","859.19","859.19","859.19"
09/30/2015,"837.88","854.45","854.45","854.45"
09/29/2015,"833.90","835.52","835.52","835.52"
09/28/2015,"861.46","834.09","834.09","834.09"
09/25/2015,"862.89","861.44","861.44","861.44"
09/24/2015,"863.34","862.77","862.77","862.77"
09/23/2015,"858.86","863.51","863.51","863.51"
09/22/2015,"869.97","858.74","858.74","858.74"
09/21/2015,"865.51","872.72","872.72","872.72"
09/18/2015,"875.09","865.53","865.53","865.53"
09/17/2015,"881.07","877.73","877.73","877.73"
09/16/2015,"875.54","881.30","881.30","881.30"
09/15/2015,"866.02","875.55","875.55","875.55"
09/14/2015,"868.71","866.26","866.26","866.26"
09/11/2015,"853.43","868.63","868.63","868.63"
09/10/2015,"851.97","853.91","853.91","853.91"
09/09/2015,"864.17","851.97","851.97","851.97"
09/08/2015,"841.50","861.34","861.34","861.34"
09/04/2015,"849.88","841.19","841.19","841.19"
09/03/2015,"851.69","850.20","850.20","850.20"
09/02/2015,"829.30","851.60","851.60","851.60"
09/01/2015,"837.32","828.79","828.79","828.79"
08/31/2015,"857.97","844.87","844.87","844.87"
08/28/2015,"861.04","858.21","858.21","858.21"
08/27/2015,"841.30","863.40","863.40","863.40"
08/26/2015,"808.19","840.89","840.89","840.89"
08/25/2015,"820.94","807.53","807.53","807.53"
08/24/2015,"842.28","809.62","809.62","809.62"
08/21/2015,"871.07","843.77","843.77","843.77"
08/20/2015,"895.63","871.43","871.43","871.43"
08/19/2015,"893.86","895.81","895.81","895.81"
08/18/2015,"896.74","894.64","894.64","894.64"
08/17/2015,"885.87","897.00","897.00","897.00"
08/14/2015,"885.99","885.91","885.91","885.91"
08/13/2015,"876.73","885.96","885.96","885.96"
08/12/2015,"881.00","876.70","876.70","876.70"
08/11/2015,"891.60","883.60","883.60","883.60"
08/10/2015,"892.92","892.03","892.03","892.03"
08/07/2015,"892.13","892.54","892.54","892.54"
08/06/2015,"905.13","892.29","892.29","892.29"
08/05/2015,"902.52","905.28","905.28","905.28"
08/04/2015,"900.18","900.72","900.72","900.72"
08/03/2015,"902.16","900.14","900.14","900.14"
07/31/2015,"896.05","902.29","902.29","902.29"
07/30/2015,"893.90","896.10","896.10","896.10"
07/29/2015,"885.65","894.10","894.10","894.10"
07/28/2015,"878.47","884.77","884.77","884.77"
07/27/2015,"883.97","878.54","878.54","878.54"
07/24/2015,"897.83","883.53","883.53","883.53"
07/23/2015,"896.03","887.55","887.55","887.55"
07/22/2015,"885.23","894.87","894.87","894.87"
07/21/2015,"887.06","885.29","885.29","885.29"
07/20/2015,"883.15","886.50","886.50","886.50"
07/17/2015,"885.71","883.14","883.14","883.14"
07/16/2015,"887.59","885.31","885.31","885.31"
07/15/2015,"890.76","884.95","884.95","884.95"
07/14/2015,"887.61","890.72","890.72","890.72"
07/13/2015,"875.27","887.17","887.17","887.17"
07/10/2015,"861.99","874.84","874.84","874.84"
07/09/2015,"854.96","859.99","859.99","859.99"
07/08/2015,"867.90","852.40","852.40","852.40"
07/07/2015,"860.80","868.65","868.65","868.65"
07/06/2015,"862.04","860.86","860.86","860.86"
07/02/2015,"861.56","864.20","864.20","864.20"
07/01/2015,"855.06","861.28","861.28","861.28"
06/30/2015,"851.23","854.17","854.17","854.17"
06/29/2015,"868.51","850.99","850.99","850.99"
06/26/2015,"862.89","871.51","871.51","871.51"
06/25/2015,"865.14","862.64","862.64","862.64"
06/24/2015,"868.43","863.58","863.58","863.58"
06/23/2015,"868.89","868.44","868.44","868.44"
06/22/2015,"864.73","868.95","868.95","868.95"
06/19/2015,"866.11","864.60","864.60","864.60"
06/18/2015,"854.65","866.09","866.09","866.09"
06/17/2015,"851.93","854.47","854.47","854.47"
06/16/2015,"846.57","851.39","851.39","851.39"
06/15/2015,"850.87","846.61","846.61","846.61"
06/12/2015,"853.32","851.08","851.08","851.08"
06/11/2015,"852.60","853.68","853.68","853.68"
06/10/2015,"844.12","852.00","852.00","852.00"
06/09/2015,"845.79","844.30","844.30","844.30"
06/08/2015,"852.89","845.83","845.83","845.83"
06/05/2015,"852.81","853.52","853.52","853.52"
06/04/2015,"856.09","852.81","852.81","852.81"
06/03/2015,"849.58","856.44","856.44","856.44"
06/02/2015,"849.04","848.66","848.66","848.66"
06/01/2015,"848.15","850.00","850.00","850.00"
05/29/2015,"854.70","848.11","848.11","848.11"
05/28/2015,"857.51","854.75","854.75","854.75"
05/27/2015,"854.26","859.80","859.80","859.80"
05/26/2015,"861.30","854.23","854.23","854.23"
05/22/2015,"864.96","861.66","861.66","861.66"
05/21/2015,"867.07","864.92","864.92","864.92"
05/20/2015,"871.53","867.59","867.59","867.59"
05/19/2015,"862.36","872.25","872.25","872.25"
05/18/2015,"859.92","862.35","862.35","862.35"
05/15/2015,"853.93","859.93","859.93","859.93"
05/14/2015,"843.69","853.24","853.24","853.24"
05/13/2015,"847.51","843.57","843.57","843.57"
05/12/2015,"845.68","847.62","847.62","847.62"
05/11/2015,"851.47","846.92","846.92","846.92"
05/08/2015,"839.73","851.58","851.58","851.58"
05/07/2015,"832.11","839.50","839.50","839.50"
05/06/2015,"836.25","832.74","832.74","832.74"
05/05/2015,"843.56","835.19","835.19","835.19"
05/04/2015,"850.20","845.33","845.33","845.33"
05/01/2015,"834.33","850.10","850.10","850.10"
04/30/2015,"843.90","833.99","833.99","833.99"
04/29/2015,"846.88","844.06","844.06","844.06"
04/28/2015,"849.30","847.64","847.64","847.64"
04/27/2015,"863.43","849.36","849.36","849.36"
04/24/2015,"844.29","862.87","862.87","862.87"
04/23/2015,"842.05","843.96","843.96","843.96"
04/22/2015,"835.73","842.55","842.55","842.55"
04/21/2015,"835.61","835.21","835.21","835.21"
04/20/2015,"830.20","835.38","835.38","835.38"
04/17/2015,"835.36","829.93","829.93","829.93"
04/16/2015,"839.24","836.74","836.74","836.74"
04/15/2015,"845.42","838.92","838.92","838.92"
04/14/2015,"848.38","843.38","843.38","843.38"
04/13/2015,"849.02","848.27","848.27","848.27"
04/10/2015,"841.41","849.03","849.03","849.03"
04/09/2015,"839.38","841.42","841.42","841.42"
04/08/2015,"833.05","838.77","838.77","838.77"
04/07/2015,"837.40","833.66","833.66","833.66"
04/06/2015,"835.14","837.62","837.62","837.62"
04/02/2015,"831.01","835.49","835.49","835.49"
04/01/2015,"837.85","831.08","831.08","831.08"
03/31/2015,"843.87","837.81","837.81","837.81"
03/30/2015,"839.32","843.59","843.59","843.59"
03/27/2015,"833.03","837.47","837.47","837.47"
03/26/2015,"834.52","832.97","832.97","832.97"
03/25/2015,"850.98","835.40","835.40","835.40"
03/24/2015,"850.44","850.61","850.61","850.61"
03/23/2015,"846.85","850.58","850.58","850.58"
03/20/2015,"842.82","846.92","846.92","846.92"
03/19/2015,"838.34","842.44","842.44","842.44"
03/18/2015,"828.10","837.88","837.88","837.88"
03/17/2015,"833.23","828.86","828.86","828.86"
03/16/2015,"825.80","833.82","833.82","833.82"
03/13/2015,"826.35","825.57","825.57","825.57"
03/12/2015,"812.26","826.49","826.49","826.49"
03/11/2015,"819.45","812.12","812.12","812.12"
03/10/2015,"831.40","819.62","819.62","819.62"
03/09/2015,"827.90","831.80","831.80","831.80"
03/06/2015,"842.22","827.53","827.53","827.53"
03/05/2015,"841.86","842.32","842.32","842.32"
03/04/2015,"846.11","841.43","841.43","841.43"
03/03/2015,"849.38","845.79","845.79","845.79"
03/02/2015,"838.17","849.62","849.62","849.62"
02/27/2015,"841.04","838.36","838.36","838.36"
02/26/2015,"835.80","840.59","840.59","840.59"
02/25/2015,"824.53","837.99","837.99","837.99"
02/24/2015,"823.48","824.52","824.52","824.52"
02/23/2015,"824.04","824.35","824.35","824.35"
02/20/2015,"823.46","824.78","824.78","824.78"
02/19/2015,"823.08","823.52","823.52","823.52"
02/18/2015,"817.51","822.76","822.76","822.76"
02/17/2015,"818.72","817.61","817.61","817.61"
02/13/2015,"816.78","818.30","818.30","818.30"
02/12/2015,"808.50","816.76","816.76","816.76"
02/11/2015,"807.17","807.91","807.91","807.91"
02/10/2015,"787.38","807.53","807.53","807.53"
02/09/2015,"794.47","786.75","786.75","786.75"
02/06/2015,"802.35","794.63","794.63","794.63"
02/05/2015,"797.24","802.63","802.63","802.63"
02/04/2015,"803.22","796.89","796.89","796.89"
02/03/2015,"791.89","803.79","803.79","803.79"
02/02/2015,"792.24","792.56","792.56","792.56"
01/30/2015,"805.43","792.11","792.11","792.11"
01/29/2015,"791.69","805.93","805.93","805.93"
01/28/2015,"801.62","790.81","790.81","790.81"
01/27/2015,"806.64","800.91","800.91","800.91"
01/26/2015,"798.06","806.89","806.89","806.89"
01/23/2015,"799.90","799.48","799.48","799.48"
01/22/2015,"779.18","792.54","792.54","792.54"
01/21/2015,"777.93","778.77","778.77","778.77"
01/20/2015,"782.26","778.58","778.58","778.58"
01/16/2015,"776.62","781.80","781.80","781.80"
01/15/2015,"782.63","776.68","776.68","776.68"
01/14/2015,"787.07","782.17","782.17","782.17"
01/13/2015,"791.70","789.16","789.16","789.16"
01/12/2015,"791.12","789.29","789.29","789.29"
01/09/2015,"803.18","791.03","791.03","791.03"
01/08/2015,"791.12","802.53","802.53","802.53"
01/07/2015,"773.81","790.79","790.79","790.79"
01/06/2015,"776.68","773.55","773.55","773.55"
01/05/2015,"789.95","776.75","776.75","776.75"
01/02/2015,"793.86","790.14","790.14","790.14"
