"","HLT.Open","HLT.High","HLT.Low","HLT.Close","HLT.Volume","HLT.Adjusted"
"2014-03-25",46.74456,46.990799,46.12896,46.12896,781774,43.973618
"2014-03-26",46.169998,46.313641,45.739079,45.841679,781969,43.699757
"2014-03-27",45.780121,46.21104,45.49284,45.615959,670517,43.484596
"2014-03-28",45.49284,45.923759,45.041401,45.657001,2073051,43.523724
"2014-03-31",45.841679,46.02636,45.144001,45.636478,4896930,43.50415
"2014-04-01",45.59544,46.580399,45.574921,46.272598,1052534,44.11055
"2014-04-02",46.169998,46.559879,46.067402,46.10844,1061550,43.954052
"2014-04-03",46.169998,46.33416,45.18504,45.18504,959357,43.073807
"2014-04-04",45.205559,45.246601,44.241119,44.302681,2767300,42.232677
"2014-04-07",44.3232,44.384762,43.625519,43.851238,694298,41.802322
"2014-04-08",43.8102,43.9128,43.37928,43.830719,686160,41.782768
"2014-04-09",43.974361,44.4258,43.871761,44.138519,864815,42.07618
"2014-04-10",44.056438,44.261639,43.17408,43.461361,527973,41.430668
"2014-04-11",43.297199,43.871761,43.009918,43.605,760136,41.567593
"2014-04-14",43.68708,44.343719,43.317719,43.8102,515400,41.763199
"2014-04-15",44.138519,44.138519,43.091999,43.871761,484990,41.821896
"2014-04-16",43.646042,44.364239,43.563961,44.3232,523977,42.252232
"2014-04-17",44.200081,44.85672,43.7076,44.672039,805166,42.584766
"2014-04-21",44.569439,44.569439,43.851238,44.035919,498148,41.978378
"2014-04-22",44.0154,44.569439,43.974361,44.138519,511745,42.07618
"2014-04-23",44.076962,44.4258,43.830719,44.097481,469883,42.037071
"2014-04-24",44.241119,44.466839,44.035919,44.118,302339,42.056625
"2014-04-25",44.118,44.159039,43.58448,43.769161,204922,41.724087
"2014-04-28",43.78968,43.974361,43.194599,43.851238,625682,41.802322
"2014-04-29",44.364239,44.487358,43.030441,43.27668,1292836,41.254616
"2014-04-30",43.522919,44.836201,43.399799,44.795158,920906,42.702148
"2014-05-01",44.713081,45.410759,44.0154,45.308159,700536,43.191162
"2014-05-02",45.308159,46.518841,45.226082,45.246601,991033,43.132496
"2014-05-05",45.020882,45.533878,44.774639,45.472321,410867,43.347668
"2014-05-06",45.349201,45.718559,44.938801,45.472321,683187,43.347668
"2014-05-07",46.785599,47.154961,45.36972,46.498322,1038060,44.325722
"2014-05-08",46.703522,46.908718,46.293121,46.457279,1212865,44.286594
"2014-05-09",48.693958,48.837601,46.74456,47.339642,3461111,45.127735
"2014-05-12",48.1194,48.3246,46.518841,47.154961,1586745,44.951675
"2014-05-13",47.401199,47.647442,46.97028,47.195999,1098538,44.990807
"2014-05-14",47.195999,47.319118,45.739079,46.272598,1191764,44.11055
"2014-05-15",46.375198,46.375198,44.44632,44.938801,1821394,42.839069
"2014-05-16",45.144001,45.26712,43.994881,44.877239,1228850,42.780388
