Date,Open,High,Low,Close
12/30/2016,"932.89","924.76","924.76","924.76"
12/29/2016,"934.01","933.02","933.02","933.02"
12/28/2016,"940.08","933.96","933.96","933.96"
12/27/2016,"942.21","940.35","940.35","940.35"
12/23/2016,"942.89","941.84","941.84","941.84"
12/22/2016,"946.69","943.00","943.00","943.00"
12/21/2016,"947.34","946.84","946.84","946.84"
12/20/2016,"943.38","947.27","947.27","947.27"
12/19/2016,"945.79","943.20","943.20","943.20"
12/16/2016,"945.41","946.90","946.90","946.90"
12/15/2016,"945.72","944.12","944.12","944.12"
12/14/2016,"952.62","949.05","949.05","949.05"
12/13/2016,"947.86","952.54","952.54","952.54"
12/12/2016,"946.40","947.92","947.92","947.92"
12/09/2016,"944.72","947.29","947.29","947.29"
12/08/2016,"944.31","943.35","943.35","943.35"
12/07/2016,"930.43","944.34","944.34","944.34"
12/06/2016,"930.34","930.93","930.93","930.93"
12/05/2016,"921.40","929.68","929.68","929.68"
12/02/2016,"926.47","920.10","920.10","920.10"
12/01/2016,"927.67","927.69","927.69","927.69"
11/30/2016,"935.07","928.50","928.50","928.50"
11/29/2016,"931.58","936.36","936.36","936.36"
11/28/2016,"934.40","934.38","934.38","934.38"
11/25/2016,"932.18","934.41","934.41","934.41"
11/23/2016,"926.20","932.49","932.49","932.49"
11/22/2016,"918.75","926.42","926.42","926.42"
11/21/2016,"918.31","919.19","919.19","919.19"
11/18/2016,"913.75","918.03","918.03","918.03"
11/17/2016,"908.84","914.24","914.24","914.24"
11/16/2016,"904.04","908.88","908.88","908.88"
11/15/2016,"900.30","904.08","904.08","904.08"
11/14/2016,"881.83","901.58","901.58","901.58"
11/11/2016,"879.76","881.70","881.70","881.70"
11/10/2016,"883.68","880.10","880.10","880.10"
11/09/2016,"878.45","883.65","883.65","883.65"
11/08/2016,"873.39","879.68","879.68","879.68"
11/07/2016,"852.72","872.59","872.59","872.59"
11/04/2016,"850.90","852.26","852.26","852.26"
11/03/2016,"857.21","850.75","850.75","850.75"
11/02/2016,"856.38","858.20","858.20","858.20"
11/01/2016,"860.70","857.04","857.04","857.04"
10/31/2016,"857.72","860.75","860.75","860.75"
10/28/2016,"850.38","857.41","857.41","857.41"
10/27/2016,"852.68","850.38","850.38","850.38"
10/26/2016,"859.15","852.39","852.39","852.39"
10/25/2016,"867.38","859.49","859.49","859.49"
10/24/2016,"863.62","867.63","867.63","867.63"
10/21/2016,"854.90","863.64","863.64","863.64"
10/20/2016,"856.26","855.45","855.45","855.45"
10/19/2016,"850.50","856.43","856.43","856.43"
10/18/2016,"852.61","850.51","850.51","850.51"
10/17/2016,"861.50","852.28","852.28","852.28"
10/14/2016,"867.91","862.50","862.50","862.50"
10/13/2016,"867.15","867.74","867.74","867.74"
10/12/2016,"863.18","867.58","867.58","867.58"
10/11/2016,"870.46","863.62","863.62","863.62"
10/10/2016,"867.47","870.71","870.71","870.71"
10/07/2016,"867.90","867.04","867.04","867.04"
10/06/2016,"869.23","868.31","868.31","868.31"
10/05/2016,"871.82","869.63","869.63","869.63"
10/04/2016,"878.26","872.39","872.39","872.39"
10/03/2016,"879.75","878.03","878.03","878.03"
09/30/2016,"874.00","879.74","879.74","879.74"
09/29/2016,"878.13","873.19","873.19","873.19"
09/28/2016,"881.00","878.12","878.12","878.12"
09/27/2016,"876.46","882.02","882.02","882.02"
09/26/2016,"885.14","876.83","876.83","876.83"
09/23/2016,"883.63","884.32","884.32","884.32"
09/22/2016,"876.98","883.90","883.90","883.90"
09/21/2016,"872.21","876.93","876.93","876.93"
09/20/2016,"865.42","872.26","872.26","872.26"
09/19/2016,"870.35","864.28","864.28","864.28"
09/16/2016,"874.55","870.19","870.19","870.19"
09/15/2016,"869.61","875.42","875.42","875.42"
09/14/2016,"867.80","869.60","869.60","869.60"
09/13/2016,"876.77","867.62","867.62","867.62"
09/12/2016,"864.28","876.87","876.87","876.87"
09/09/2016,"879.04","864.44","864.44","864.44"
09/08/2016,"888.59","879.21","879.21","879.21"
09/07/2016,"887.60","888.71","888.71","888.71"
09/06/2016,"886.62","887.95","887.95","887.95"
09/02/2016,"891.38","886.55","886.55","886.55"
09/01/2016,"888.13","890.35","890.35","890.35"
08/31/2016,"888.03","887.84","887.84","887.84"
08/30/2016,"888.42","888.10","888.10","888.10"
08/29/2016,"887.70","891.04","891.04","891.04"
08/26/2016,"891.71","887.99","887.99","887.99"
08/25/2016,"888.11","891.78","891.78","891.78"
08/24/2016,"888.77","888.59","888.59","888.59"
08/23/2016,"885.00","889.44","889.44","889.44"
08/22/2016,"879.53","884.83","884.83","884.83"
08/19/2016,"889.42","879.53","879.53","879.53"
08/18/2016,"891.13","889.63","889.63","889.63"
08/17/2016,"892.20","891.21","891.21","891.21"
08/16/2016,"891.43","890.55","890.55","890.55"
08/15/2016,"892.35","891.47","891.47","891.47"
08/12/2016,"893.04","892.54","892.54","892.54"
08/11/2016,"888.56","893.07","893.07","893.07"
08/10/2016,"885.48","887.85","887.85","887.85"
08/09/2016,"889.92","885.03","885.03","885.03"
08/08/2016,"895.79","890.94","890.94","890.94"
08/05/2016,"888.47","895.76","895.76","895.76"
08/04/2016,"884.95","888.31","888.31","888.31"
08/03/2016,"886.51","884.97","884.97","884.97"
08/02/2016,"897.04","886.59","886.59","886.59"
08/01/2016,"901.31","898.69","898.69","898.69"
07/29/2016,"909.76","901.46","901.46","901.46"
