Date,Open,High,Low,Close
12/29/2017,"1,208.71","1,200.36","1,200.36","1,200.36"
12/28/2017,"1,205.76","1,208.77","1,208.77","1,208.77"
12/27/2017,"1,195.55","1,205.74","1,205.74","1,205.74"
12/26/2017,"1,198.06","1,195.60","1,195.60","1,195.60"
12/22/2017,"1,200.62","1,198.07","1,198.07","1,198.07"
12/21/2017,"1,203.14","1,200.65","1,200.65","1,200.65"
12/20/2017,"1,210.09","1,203.49","1,203.49","1,203.49"
12/19/2017,"1,208.54","1,210.03","1,210.03","1,210.03"
12/18/2017,"1,202.06","1,208.50","1,208.50","1,208.50"
12/15/2017,"1,198.12","1,201.58","1,201.58","1,201.58"
12/14/2017,"1,201.28","1,198.15","1,198.15","1,198.15"
12/13/2017,"1,198.69","1,201.27","1,201.27","1,201.27"
12/12/2017,"1,203.05","1,198.74","1,198.74","1,198.74"
12/11/2017,"1,202.31","1,203.67","1,203.67","1,203.67"
12/08/2017,"1,199.58","1,202.44","1,202.44","1,202.44"
12/07/2017,"1,199.35","1,199.57","1,199.57","1,199.57"
12/06/2017,"1,201.27","1,199.47","1,199.47","1,199.47"
12/05/2017,"1,196.58","1,201.12","1,201.12","1,201.12"
12/04/2017,"1,193.58","1,196.85","1,196.85","1,196.85"
12/01/2017,"1,190.47","1,192.34","1,192.34","1,192.34"
11/30/2017,"1,181.17","1,190.97","1,190.97","1,190.97"
11/29/2017,"1,180.55","1,183.46","1,183.46","1,183.46"
11/28/2017,"1,168.79","1,180.35","1,180.35","1,180.35"
11/27/2017,"1,173.22","1,168.58","1,168.58","1,168.58"
11/24/2017,"1,173.57","1,173.08","1,173.08","1,173.08"
11/22/2017,"1,173.42","1,173.67","1,173.67","1,173.67"
11/21/2017,"1,164.08","1,173.88","1,173.88","1,173.88"
11/20/2017,"1,162.07","1,164.32","1,164.32","1,164.32"
11/17/2017,"1,164.28","1,163.16","1,163.16","1,163.16"
11/16/2017,"1,158.01","1,164.24","1,164.24","1,164.24"
11/15/2017,"1,161.47","1,157.68","1,157.68","1,157.68"
11/14/2017,"1,157.85","1,162.90","1,162.90","1,162.90"
11/13/2017,"1,153.41","1,158.42","1,158.42","1,158.42"
11/10/2017,"1,159.07","1,153.46","1,153.46","1,153.46"
11/09/2017,"1,172.58","1,159.61","1,159.61","1,159.61"
11/08/2017,"1,169.38","1,172.87","1,172.87","1,172.87"
11/07/2017,"1,164.00","1,169.99","1,169.99","1,169.99"
11/06/2017,"1,154.42","1,163.97","1,163.97","1,163.97"
11/03/2017,"1,145.38","1,154.51","1,154.51","1,154.51"
11/02/2017,"1,136.01","1,145.37","1,145.37","1,145.37"
11/01/2017,"1,139.87","1,136.00","1,136.00","1,136.00"
10/31/2017,"1,135.06","1,139.69","1,139.69","1,139.69"
10/30/2017,"1,136.90","1,134.68","1,134.68","1,134.68"
10/27/2017,"1,133.22","1,136.98","1,136.98","1,136.98"
10/26/2017,"1,122.38","1,133.29","1,133.29","1,133.29"
10/25/2017,"1,130.17","1,122.00","1,122.00","1,122.00"
10/24/2017,"1,126.25","1,130.77","1,130.77","1,130.77"
10/23/2017,"1,134.57","1,125.89","1,125.89","1,125.89"
10/20/2017,"1,137.46","1,134.56","1,134.56","1,134.56"
10/19/2017,"1,140.82","1,137.82","1,137.82","1,137.82"
10/18/2017,"1,140.30","1,140.84","1,140.84","1,140.84"
10/17/2017,"1,138.94","1,140.29","1,140.29","1,140.29"
10/16/2017,"1,142.36","1,139.03","1,139.03","1,139.03"
10/13/2017,"1,136.03","1,142.52","1,142.52","1,142.52"
10/12/2017,"1,134.29","1,135.89","1,135.89","1,135.89"
10/11/2017,"1,125.73","1,134.44","1,134.44","1,134.44"
10/10/2017,"1,120.68","1,125.60","1,125.60","1,125.60"
10/09/2017,"1,118.80","1,120.66","1,120.66","1,120.66"
10/06/2017,"1,111.98","1,118.01","1,118.01","1,118.01"
10/05/2017,"1,101.05","1,112.96","1,112.96","1,112.96"
10/04/2017,"1,098.04","1,100.89","1,100.89","1,100.89"
10/03/2017,"1,098.81","1,097.94","1,097.94","1,097.94"
10/02/2017,"1,100.30","1,098.73","1,098.73","1,098.73"
09/29/2017,"1,103.97","1,100.42","1,100.42","1,100.42"
09/28/2017,"1,093.94","1,104.02","1,104.02","1,104.02"
09/27/2017,"1,095.72","1,094.12","1,094.12","1,094.12"
09/26/2017,"1,098.91","1,095.27","1,095.27","1,095.27"
09/25/2017,"1,108.93","1,098.91","1,098.91","1,098.91"
09/22/2017,"1,110.33","1,109.57","1,109.57","1,109.57"
09/21/2017,"1,112.58","1,110.34","1,110.34","1,110.34"
09/20/2017,"1,104.36","1,112.59","1,112.59","1,112.59"
09/19/2017,"1,099.37","1,104.39","1,104.39","1,104.39"
09/18/2017,"1,102.19","1,099.38","1,099.38","1,099.38"
09/15/2017,"1,109.29","1,102.06","1,102.06","1,102.06"
09/14/2017,"1,108.76","1,109.28","1,109.28","1,109.28"
09/13/2017,"1,100.55","1,108.88","1,108.88","1,108.88"
09/12/2017,"1,113.81","1,100.54","1,100.54","1,100.54"
09/11/2017,"1,099.53","1,113.56","1,113.56","1,113.56"
09/08/2017,"1,097.95","1,098.37","1,098.37","1,098.37"
09/07/2017,"1,100.17","1,098.39","1,098.39","1,098.39"
09/06/2017,"1,104.47","1,099.67","1,099.67","1,099.67"
