"","UAL.Open","UAL.High","UAL.Low","UAL.Close","UAL.Volume","UAL.Adjusted"
"2013-02-25",26.58,27.219999,26.26,26.290001,4822100,26.290001
"2013-02-26",26.290001,26.4,25.530001,25.98,5705100,25.98
"2013-02-27",26.01,27.040001,25.91,26.959999,4863800,26.959999
"2013-02-28",26.959999,27.18,26.639999,26.709999,3412100,26.709999
"2013-03-01",26.58,27.93,26.58,27.379999,5162000,27.379999
"2013-03-04",27.219999,28.98,27.219999,28.82,6305400,28.82
"2013-03-05",28.889999,29.870001,28.84,29.549999,7646300,29.549999
"2013-03-06",29.67,29.879999,29.17,29.299999,4237800,29.299999
"2013-03-07",29.299999,29.969999,29.110001,29.610001,5676300,29.610001
"2013-03-08",29.99,31.639999,29.959999,31.35,9981800,31.35
"2013-03-11",30.93,31.08,30.35,30.610001,5508700,30.610001
"2013-03-12",30.59,30.809999,29.92,29.950001,5704100,29.950001
"2013-03-13",30.049999,30.91,29.75,30.84,4759300,30.84
"2013-03-14",30.780001,31.25,30.559999,31.17,3708700,31.17
"2013-03-15",31.120001,31.35,30.780001,30.940001,5803200,30.940001
"2013-03-18",30.68,31.5,30.57,31.200001,3037700,31.200001
"2013-03-19",31.35,31.98,31.24,31.799999,4159300,31.799999
"2013-03-20",31.969999,32.950001,31.860001,32.5,6521400,32.5
"2013-03-21",32.169998,32.599998,32.040001,32.299999,4447300,32.299999
"2013-03-22",32.32,32.48,31.73,31.870001,3290400,31.870001
"2013-03-25",32.07,32.330002,31.549999,31.9,2885300,31.9
"2013-03-26",31.9,32.169998,31.75,31.790001,3401400,31.790001
"2013-03-27",31.6,32.389999,31.57,32.330002,2703900,32.330002
"2013-03-28",32.279999,32.599998,31.940001,32.009998,2510900,32.009998
"2013-04-01",31.27,31.940001,30.84,30.969999,5607500,30.969999
"2013-04-02",30.57,30.860001,29.16,29.379999,11270600,29.379999
"2013-04-03",29.559999,30.1,28.209999,28.66,10511900,28.66
"2013-04-04",28.76,29.33,28.690001,29.299999,3252900,29.299999
"2013-04-05",28.4,29.33,27.9,29.27,6330300,29.27
"2013-04-08",29.389999,30.129999,28.870001,30.049999,4063300,30.049999
"2013-04-09",29.93,30.42,29.209999,29.290001,4223000,29.290001
"2013-04-10",29.530001,30.370001,29.5,29.83,4040100,29.83
"2013-04-11",29.799999,30.67,29.799999,30.27,2849700,30.27
"2013-04-12",30.18,30.719999,30.129999,30.280001,4352300,30.280001
"2013-04-15",30.51,30.59,28.950001,29.09,5979800,29.09
"2013-04-16",29.68,30.93,29.68,30.860001,4068800,30.860001
"2013-04-17",30.709999,31.01,30.23,30.91,4025700,30.91
"2013-04-18",30.91,30.93,29.99,30.23,4273200,30.23
"2013-04-19",30.27,30.92,30.16,30.6,3433900,30.6
"2013-04-22",30.6,30.6,29.77,30.15,3080400,30.15
"2013-04-23",29.780001,31.9,29.76,31.1,7478300,31.1
"2013-04-24",31.1,31.709999,30.51,31.389999,5438800,31.389999
"2013-04-25",31.18,31.879999,30.629999,30.889999,5518800,30.889999
"2013-04-26",31,31.309999,30.66,31.139999,3436300,31.139999
"2013-04-29",31,32.150002,31,32,4215000,32
"2013-04-30",32.169998,32.689999,31.67,32.299999,4148300,32.299999
"2013-05-01",32.360001,32.779999,31.58,32.009998,4396700,32.009998
"2013-05-02",32.02,32.689999,31.799999,32.599998,2257000,32.599998
"2013-05-03",32.830002,33.82,32.669998,33.009998,3410900,33.009998
"2013-05-06",33.080002,33.740002,33.049999,33.549999,2280100,33.549999
