Date,Open,High,Low,Close
12/31/2018,"1,145.62","1,159.08","1,159.08","1,159.08"
12/28/2018,"1,140.45","1,144.25","1,144.25","1,144.25"
12/27/2018,"1,130.60","1,140.27","1,140.27","1,140.27"
12/26/2018,"1,091.87","1,131.67","1,131.67","1,131.67"
12/24/2018,"1,114.32","1,092.44","1,092.44","1,092.44"
12/21/2018,"1,125.97","1,114.13","1,114.13","1,114.13"
12/20/2018,"1,166.66","1,126.04","1,126.04","1,126.04"
12/19/2018,"1,183.81","1,166.99","1,166.99","1,166.99"
12/18/2018,"1,184.40","1,183.58","1,183.58","1,183.58"
12/17/2018,"1,200.05","1,182.60","1,182.60","1,182.60"
12/14/2018,"1,216.48","1,200.08","1,200.08","1,200.08"
12/13/2018,"1,208.61","1,217.28","1,217.28","1,217.28"
12/12/2018,"1,201.99","1,207.80","1,207.80","1,207.80"
12/11/2018,"1,206.83","1,200.43","1,200.43","1,200.43"
12/10/2018,"1,202.13","1,205.73","1,205.73","1,205.73"
12/07/2018,"1,230.66","1,202.00","1,202.00","1,202.00"
12/06/2018,"1,224.17","1,231.25","1,231.25","1,231.25"
12/04/2018,"1,250.48","1,224.34","1,224.34","1,224.34"
12/03/2018,"1,245.22","1,250.58","1,250.58","1,250.58"
11/30/2018,"1,249.42","1,242.79","1,242.79","1,242.79"
11/29/2018,"1,254.30","1,252.36","1,252.36","1,252.36"
11/28/2018,"1,233.03","1,254.78","1,254.78","1,254.78"
11/27/2018,"1,228.85","1,233.15","1,233.15","1,233.14"
11/26/2018,"1,215.19","1,229.19","1,229.19","1,229.19"
11/23/2018,"1,217.48","1,214.81","1,214.81","1,214.81"
11/21/2018,"1,215.69","1,218.11","1,218.11","1,218.11"
11/20/2018,"1,227.18","1,215.76","1,215.76","1,215.76"
11/19/2018,"1,241.19","1,228.49","1,228.49","1,228.49"
11/16/2018,"1,228.08","1,241.10","1,241.10","1,241.10"
11/15/2018,"1,218.66","1,228.43","1,228.43","1,228.43"
11/14/2018,"1,220.23","1,220.00","1,220.00","1,220.00"
11/13/2018,"1,218.30","1,220.81","1,220.81","1,220.81"
11/12/2018,"1,231.16","1,218.43","1,218.43","1,218.43"
11/09/2018,"1,232.18","1,230.96","1,230.96","1,230.96"
11/08/2018,"1,231.57","1,232.20","1,232.20","1,232.20"
11/07/2018,"1,209.61","1,232.26","1,232.26","1,232.26"
11/06/2018,"1,200.02","1,209.02","1,209.02","1,209.02"
11/05/2018,"1,194.48","1,201.53","1,201.53","1,201.53"
11/02/2018,"1,183.89","1,194.36","1,194.36","1,194.36"
11/01/2018,"1,160.73","1,170.60","1,170.60","1,170.60"
10/31/2018,"1,151.40","1,160.39","1,160.39","1,160.39"
10/30/2018,"1,128.91","1,150.92","1,150.92","1,150.92"
10/29/2018,"1,134.01","1,128.81","1,128.81","1,128.81"
10/26/2018,"1,146.22","1,133.01","1,133.01","1,133.01"
10/25/2018,"1,135.51","1,146.83","1,146.83","1,146.83"
10/24/2018,"1,161.52","1,134.68","1,134.68","1,134.68"
10/23/2018,"1,140.25","1,161.59","1,161.59","1,161.59"
10/22/2018,"1,145.83","1,140.68","1,140.68","1,140.68"
10/19/2018,"1,152.73","1,145.04","1,145.04","1,145.04"
10/18/2018,"1,166.76","1,152.88","1,152.88","1,152.88"
10/17/2018,"1,156.02","1,167.16","1,167.16","1,167.16"
10/16/2018,"1,138.28","1,155.83","1,155.83","1,155.83"
10/15/2018,"1,139.98","1,137.67","1,137.67","1,137.67"
10/12/2018,"1,125.95","1,140.25","1,140.25","1,140.25"
10/11/2018,"1,149.50","1,124.71","1,124.71","1,124.71"
10/10/2018,"1,175.09","1,149.73","1,149.73","1,149.73"
10/09/2018,"1,165.15","1,175.24","1,175.24","1,175.24"
10/08/2018,"1,159.18","1,165.36","1,165.36","1,165.36"
10/05/2018,"1,163.57","1,159.16","1,159.16","1,159.16"
10/04/2018,"1,166.30","1,163.37","1,163.37","1,163.37"
10/03/2018,"1,169.03","1,166.44","1,166.44","1,166.44"
10/02/2018,"1,178.78","1,168.54","1,168.54","1,168.54"
10/01/2018,"1,197.36","1,178.86","1,178.86","1,178.86"
09/28/2018,"1,197.87","1,194.91","1,194.91","1,194.91"
09/27/2018,"1,196.22","1,197.28","1,197.28","1,197.28"
09/26/2018,"1,194.88","1,196.81","1,196.81","1,196.81"
09/25/2018,"1,191.36","1,195.15","1,195.15","1,195.15"
09/24/2018,"1,200.35","1,188.35","1,188.35","1,188.35"
09/21/2018,"1,189.69","1,200.94","1,200.94","1,200.94"
09/20/2018,"1,179.27","1,189.39","1,189.39","1,189.39"
09/19/2018,"1,169.62","1,179.04","1,179.04","1,179.04"
09/18/2018,"1,164.19","1,169.82","1,169.82","1,169.82"
09/17/2018,"1,170.48","1,164.11","1,164.11","1,164.11"
09/14/2018,"1,172.10","1,173.50","1,173.50","1,173.50"
09/13/2018,"1,173.55","1,172.14","1,172.14","1,172.14"
09/12/2018,"1,170.08","1,173.11","1,173.11","1,173.11"
09/11/2018,"1,171.06","1,170.04","1,170.04","1,170.04"
09/10/2018,"1,165.65","1,171.32","1,171.32","1,171.32"
09/07/2018,"1,158.47","1,165.31","1,165.31","1,165.31"
09/06/2018,"1,156.31","1,159.26","1,159.26","1,159.26"
09/05/2018,"1,155.48","1,156.56","1,156.56","1,156.56"
09/04/2018,"1,160.07","1,155.77","1,155.77","1,155.77"
08/31/2018,"1,163.07","1,160.41","1,160.41","1,160.41"
08/30/2018,"1,165.02","1,159.39","1,159.39","1,159.39"
