Date,Open,High,Low,Close
12/31/2013,"762.58","763.98","763.98","763.98"
12/30/2013,"759.88","762.53","762.53","762.53"
12/27/2013,"760.81","759.68","759.68","759.68"
12/26/2013,"758.18","760.63","760.63","760.63"
12/24/2013,"754.53","758.10","758.10","758.10"
12/23/2013,"752.77","754.91","754.91","754.91"
12/20/2013,"743.66","752.19","752.19","752.19"
12/19/2013,"746.52","742.93","742.93","742.93"
12/18/2013,"733.53","746.67","746.67","746.67"
12/17/2013,"739.37","733.47","733.47","733.47"
12/16/2013,"732.49","739.46","739.46","739.46"
12/13/2013,"730.02","732.41","732.41","732.41"
12/12/2013,"734.03","729.32","729.32","729.32"
12/11/2013,"739.20","734.19","734.19","734.19"
12/10/2013,"746.98","739.75","739.75","739.75"
12/09/2013,"748.72","746.96","746.96","746.96"
12/06/2013,"741.54","748.26","748.26","748.26"
12/05/2013,"743.71","741.41","741.41","741.41"
12/04/2013,"746.37","743.57","743.57","743.57"
12/03/2013,"752.55","747.36","747.36","747.36"
12/02/2013,"756.18","752.70","752.70","752.70"
11/29/2013,"756.07","756.42","756.42","756.42"
11/27/2013,"755.70","756.02","756.02","756.02"
11/26/2013,"759.33","757.84","757.84","757.84"
11/25/2013,"759.16","759.07","759.07","759.07"
11/22/2013,"753.70","758.96","758.96","758.96"
11/21/2013,"743.24","753.85","753.85","753.85"
11/20/2013,"747.29","742.63","742.63","742.63"
11/19/2013,"748.98","747.17","747.17","747.17"
11/18/2013,"750.76","749.09","749.09","749.09"
11/15/2013,"751.38","751.07","751.07","751.07"
11/14/2013,"752.29","751.36","751.36","751.36"
11/13/2013,"742.86","752.27","752.27","752.27"
11/12/2013,"744.66","745.58","745.58","745.58"
11/11/2013,"743.36","745.24","745.24","745.24"
11/08/2013,"735.84","743.59","743.59","743.59"
11/07/2013,"748.70","734.93","734.93","734.93"
11/06/2013,"747.22","748.57","748.57","748.57"
11/05/2013,"742.82","747.20","747.20","747.20"
11/04/2013,"739.38","743.26","743.26","743.26"
11/01/2013,"736.26","739.33","739.33","739.33"
10/31/2013,"735.90","736.23","736.23","736.23"
10/30/2013,"733.97","736.19","736.19","736.19"
