Date,Open,High,Low,Close
12/31/2014,"797.40","793.92","793.92","793.92"
12/30/2014,"802.45","796.54","796.54","796.54"
12/29/2014,"797.06","802.89","802.89","802.89"
12/26/2014,"792.21","797.42","797.42","797.42"
12/24/2014,"792.69","792.18","792.18","792.18"
12/23/2014,"787.68","792.79","792.79","792.79"
12/22/2014,"779.95","787.86","787.86","787.86"
12/19/2014,"780.87","779.96","779.96","779.96"
12/18/2014,"773.13","780.93","780.93","780.93"
12/17/2014,"753.72","772.64","772.64","772.64"
12/16/2014,"764.22","754.31","754.31","754.31"
12/15/2014,"778.18","764.69","764.69","764.69"
12/12/2014,"779.02","777.96","777.96","777.96"
12/11/2014,"773.65","779.82","779.82","779.82"
12/10/2014,"787.79","773.07","773.07","773.07"
12/09/2014,"794.47","788.42","788.42","788.42"
12/08/2014,"808.41","795.84","795.84","795.84"
12/05/2014,"800.88","809.03","809.03","809.03"
12/04/2014,"795.81","798.54","798.54","798.54"
12/03/2014,"794.92","795.91","795.91","795.91"
12/02/2014,"795.83","795.22","795.22","795.22"
12/01/2014,"804.09","796.08","796.08","796.08"
11/28/2014,"794.51","804.44","804.44","804.44"
11/26/2014,"793.17","793.97","793.97","793.97"
11/25/2014,"798.03","795.71","795.71","795.71"
11/24/2014,"791.89","797.95","797.95","797.95"
11/21/2014,"787.40","791.62","791.62","791.62"
11/20/2014,"784.82","786.56","786.56","786.56"
11/19/2014,"786.34","784.94","784.94","784.94"
11/18/2014,"784.43","786.88","786.88","786.88"
11/17/2014,"789.33","784.53","784.53","784.53"
11/14/2014,"787.25","789.59","789.59","789.59"
11/13/2014,"783.44","787.35","787.35","787.35"
11/12/2014,"779.74","783.39","783.39","783.39"
11/11/2014,"776.33","780.39","780.39","780.39"
11/10/2014,"774.49","776.31","776.31","776.31"
11/07/2014,"773.35","774.82","774.82","774.82"
11/06/2014,"769.05","773.53","773.53","773.53"
11/05/2014,"768.79","769.05","769.05","769.05"
11/04/2014,"766.44","769.51","769.51","769.51"
11/03/2014,"767.60","766.99","766.99","766.99"
10/31/2014,"762.42","766.72","766.72","766.72"
10/30/2014,"759.55","766.70","766.70","766.70"
10/29/2014,"761.78","759.94","759.94","759.94"
10/28/2014,"754.24","760.69","760.69","760.69"
10/27/2014,"751.50","754.50","754.50","754.50"
10/24/2014,"744.72","751.52","751.52","751.52"
10/23/2014,"743.88","744.78","744.78","744.78"
10/22/2014,"744.97","742.90","742.90","742.90"
10/21/2014,"744.63","744.74","744.74","744.74"
10/20/2014,"734.80","744.04","744.04","744.04"
10/17/2014,"726.49","734.88","734.88","734.88"
10/16/2014,"721.63","725.68","725.68","725.68"
10/15/2014,"725.85","721.85","721.85","721.85"
10/14/2014,"720.79","727.69","727.69","727.69"
10/13/2014,"740.16","721.29","721.29","721.29"
10/10/2014,"743.57","740.24","740.24","740.24"
10/09/2014,"758.04","744.02","744.02","744.02"
10/08/2014,"748.85","758.49","758.49","758.49"
10/07/2014,"762.42","749.14","749.14","749.14"
10/06/2014,"769.29","762.95","762.95","762.95"
10/03/2014,"760.00","768.86","768.86","768.86"
10/02/2014,"761.80","759.75","759.75","759.75"
10/01/2014,"772.66","762.06","762.06","762.06"
09/30/2014,"775.45","772.41","772.41","772.41"
09/29/2014,"771.57","775.42","775.42","775.42"
09/26/2014,"765.80","772.89","772.89","772.89"
09/25/2014,"774.93","765.29","765.29","765.29"
09/24/2014,"764.87","775.34","775.34","775.34"
09/23/2014,"767.48","763.55","763.55","763.55"
09/22/2014,"775.87","767.61","767.61","767.61"
09/19/2014,"772.70","775.93","775.93","775.93"
09/18/2014,"767.64","771.71","771.71","771.71"
09/17/2014,"765.78","767.32","767.32","767.32"
09/16/2014,"763.44","765.35","765.35","765.35"
09/15/2014,"763.95","763.58","763.58","763.58"
09/12/2014,"768.45","764.38","764.38","764.38"
09/11/2014,"769.03","769.05","769.05","769.05"
09/10/2014,"763.31","769.28","769.28","769.28"
09/09/2014,"770.47","763.37","763.37","763.37"
09/08/2014,"772.99","770.92","770.92","770.92"
09/05/2014,"769.38","773.17","773.17","773.17"
09/04/2014,"767.61","769.49","769.49","769.49"
09/03/2014,"767.13","767.49","767.49","767.49"
09/02/2014,"772.09","767.19","767.19","767.19"
08/29/2014,"773.69","772.87","772.87","772.87"
08/28/2014,"772.93","773.12","773.12","773.12"
08/27/2014,"776.39","775.30","775.30","775.30"
08/26/2014,"775.86","776.38","776.38","776.38"
08/25/2014,"774.62","776.14","776.14","776.14"
08/22/2014,"774.31","773.96","773.96","773.96"
08/21/2014,"775.82","774.67","774.67","774.67"
08/20/2014,"776.09","775.77","775.77","775.77"
08/19/2014,"774.46","776.36","776.36","776.36"
08/18/2014,"768.51","774.27","774.27","774.27"
08/15/2014,"767.41","768.21","768.21","768.21"
08/14/2014,"767.18","767.25","767.25","767.25"
08/13/2014,"764.30","767.17","767.17","767.17"
08/12/2014,"764.89","764.13","764.13","764.13"
08/11/2014,"761.53","764.85","764.85","764.85"
08/08/2014,"755.76","761.50","761.50","761.50"
08/07/2014,"759.87","755.64","755.64","755.64"
08/06/2014,"759.49","759.34","759.34","759.34"
08/05/2014,"768.06","760.10","760.10","760.10"
08/04/2014,"765.31","768.70","768.70","768.70"
08/01/2014,"763.93","764.72","764.72","764.72"
07/31/2014,"778.24","764.32","764.32","764.32"
07/30/2014,"778.33","778.98","778.98","778.98"
07/29/2014,"777.31","778.13","778.13","778.13"
07/28/2014,"775.85","777.25","777.25","777.25"
07/25/2014,"774.34","776.22","776.22","776.22"
07/24/2014,"777.70","778.54","778.54","778.54"
07/23/2014,"779.48","777.79","777.79","777.79"
07/22/2014,"772.57","779.46","779.46","779.46"
07/21/2014,"780.01","771.10","771.10","771.10"
07/18/2014,"773.22","779.91","779.91","779.91"
07/17/2014,"788.25","772.28","772.28","772.28"
07/16/2014,"793.47","789.17","789.17","789.17"
07/15/2014,"794.82","793.15","793.15","793.15"
07/14/2014,"793.07","794.81","794.81","794.81"
07/11/2014,"794.77","792.84","792.84","792.84"
07/10/2014,"797.96","794.63","794.63","794.63"
07/09/2014,"790.14","799.90","799.90","799.90"
07/08/2014,"794.41","790.53","790.53","790.53"
07/07/2014,"799.79","794.71","794.71","794.71"
07/03/2014,"794.51","799.91","799.91","799.91"
07/02/2014,"794.24","794.43","794.43","794.43"
07/01/2014,"789.85","794.25","794.25","794.25"
06/30/2014,"794.62","789.75","789.75","789.75"
06/27/2014,"794.87","794.35","794.35","794.35"
06/26/2014,"794.91","795.09","795.09","795.09"
06/25/2014,"789.13","794.21","794.21","794.21"
06/24/2014,"792.23","789.71","789.71","789.71"
06/23/2014,"790.39","792.05","792.05","792.05"
06/20/2014,"793.19","790.56","790.56","790.56"
06/19/2014,"785.27","792.43","792.43","792.43"
06/18/2014,"782.52","785.02","785.02","785.02"
06/17/2014,"780.28","782.78","782.78","782.78"
06/16/2014,"777.99","780.44","780.44","780.44"
06/13/2014,"772.01","778.54","778.54","778.54"
06/12/2014,"778.37","771.99","771.99","771.99"
06/11/2014,"780.02","778.98","778.98","778.98"
06/10/2014,"783.69","780.09","780.09","780.09"
06/09/2014,"785.16","784.12","784.12","784.12"
06/06/2014,"784.07","786.19","786.19","786.19"
06/05/2014,"782.90","783.89","783.89","783.89"
06/04/2014,"777.80","783.22","783.22","783.22"
06/03/2014,"779.79","778.38","778.38","778.38"
06/02/2014,"775.35","780.92","780.92","780.92"
05/30/2014,"773.81","775.41","775.41","775.41"
05/29/2014,"769.87","773.63","773.63","773.63"
05/28/2014,"773.71","771.96","771.96","771.96"
05/27/2014,"765.15","773.80","773.80","773.80"
05/23/2014,"765.65","765.07","765.07","765.07"
05/22/2014,"758.96","763.94","763.94","763.94"
05/21/2014,"752.37","758.98","758.98","758.98"
05/20/2014,"756.98","752.66","752.66","752.66"
05/19/2014,"758.36","757.50","757.50","757.50"
05/16/2014,"755.44","758.40","758.40","758.40"
05/15/2014,"761.36","755.45","755.45","755.45"
05/14/2014,"767.55","761.21","761.21","761.21"
05/13/2014,"765.88","767.68","767.68","767.68"
05/12/2014,"761.61","766.17","766.17","766.17"
05/09/2014,"755.28","761.18","761.18","761.18"
05/08/2014,"755.63","754.73","754.73","754.73"
05/07/2014,"755.00","757.14","757.14","757.14"
05/06/2014,"761.35","754.63","754.63","754.63"
05/05/2014,"762.31","761.87","761.87","761.87"
05/02/2014,"758.24","762.38","762.38","762.38"
05/01/2014,"757.74","756.63","756.63","756.63"
04/30/2014,"756.06","757.47","757.47","757.47"
04/29/2014,"749.08","756.12","756.12","756.12"
04/28/2014,"756.66","748.56","748.56","748.56"
04/25/2014,"758.31","755.77","755.77","755.77"
04/24/2014,"750.46","756.45","756.45","756.45"
04/23/2014,"756.68","750.29","750.29","750.29"
04/22/2014,"749.02","756.64","756.64","756.64"
04/21/2014,"753.43","749.33","749.33","749.33"
04/17/2014,"756.79","753.19","753.19","753.19"
04/16/2014,"749.35","757.32","757.32","757.32"
04/15/2014,"749.28","748.95","748.95","748.95"
04/14/2014,"744.56","749.30","749.30","749.30"
04/11/2014,"749.45","744.20","744.20","744.20"
04/10/2014,"761.79","750.03","750.03","750.03"
04/09/2014,"754.48","761.52","761.52","761.52"
04/08/2014,"745.76","754.10","754.10","754.10"
04/07/2014,"754.00","745.94","745.94","745.94"
04/04/2014,"764.72","754.71","754.71","754.71"
