Date,num_vaccine,Distributor
03/20/2021,9090100.0,Janssen
03/20/2022,61815900.0,Janssen
03/21/2021,9090300.0,Janssen
03/21/2022,61815900.0,Janssen
03/22/2021,9095800.0,Janssen
03/22/2022,61815900.0,Janssen
03/23/2021,9741900.0,Janssen
03/23/2022,61838700.0,Janssen
03/24/2021,10107900.0,Janssen
03/24/2022,61858900.0,Janssen
03/25/2021,10265400.0,Janssen
03/25/2022,61865300.0,Janssen
03/26/2021,10344000.0,Janssen
03/26/2022,61880500.0,Janssen
03/27/2021,10528800.0,Janssen
03/27/2022,61880500.0,Janssen
03/28/2021,10534700.0,Janssen
03/28/2022,61880500.0,Janssen
03/29/2021,10534700.0,Janssen
03/29/2022,61886500.0,Janssen
03/30/2021,13243600.0,Janssen
03/30/2022,61899200.0,Janssen
03/31/2021,14465700.0,Janssen
03/31/2022,61912000.0,Janssen
04/01/2021,16910800.0,Janssen
04/01/2022,61912000.0,Janssen
04/02/2021,17755300.0,Janssen
04/02/2022,61969700.0,Janssen
04/03/2021,18506500.0,Janssen
04/03/2022,61969700.0,Janssen
04/04/2021,18513200.0,Janssen
04/04/2022,61969700.0,Janssen
04/05/2021,18515200.0,Janssen
04/05/2022,61984500.0,Janssen
04/06/2021,25683600.0,Janssen
04/06/2022,61994500.0,Janssen
04/07/2021,28748400.0,Janssen
04/07/2022,62005700.0,Janssen
04/08/2021,30744300.0,Janssen
04/08/2022,62017800.0,Janssen
04/09/2021,32075300.0,Janssen
04/09/2022,62017800.0,Janssen
04/10/2021,34524600.0,Janssen
04/10/2022,62037500.0,Janssen
04/11/2021,34687700.0,Janssen
04/11/2022,62037500.0,Janssen
04/12/2021,34699700.0,Janssen
04/12/2022,62048800.0,Janssen
04/13/2021,37280300.0,Janssen
04/13/2022,62057600.0,Janssen
04/14/2021,37703800.0,Janssen
04/14/2022,62126400.0,Janssen
04/15/2021,37704400.0,Janssen
04/15/2022,62133300.0,Janssen
04/16/2021,37704800.0,Janssen
04/16/2022,62147900.0,Janssen
04/17/2021,37704800.0,Janssen
04/17/2022,62147900.0,Janssen
04/18/2021,37704800.0,Janssen
04/18/2022,62147900.0,Janssen
04/19/2021,37704800.0,Janssen
04/19/2022,62147900.0,Janssen
04/20/2021,37704800.0,Janssen
04/20/2022,62181500.0,Janssen
04/21/2021,37704800.0,Janssen
04/21/2022,62204500.0,Janssen
04/22/2021,37709900.0,Janssen
04/22/2022,62223700.0,Janssen
04/23/2021,37709900.0,Janssen
04/23/2022,62272500.0,Janssen
04/24/2021,37709900.0,Janssen
04/24/2022,62272500.0,Janssen
04/25/2021,37710000.0,Janssen
04/25/2022,62272500.0,Janssen
04/26/2021,37710000.0,Janssen
04/26/2022,62284100.0,Janssen
04/27/2021,37714000.0,Janssen
04/27/2022,62295100.0,Janssen
04/28/2021,37758400.0,Janssen
04/28/2022,62364300.0,Janssen
04/29/2021,38214900.0,Janssen
04/29/2022,62375300.0,Janssen
04/30/2021,38737300.0,Janssen
04/30/2022,62406900.0,Janssen
05/01/2021,39586900.0,Janssen
05/01/2022,62406900.0,Janssen
05/02/2021,39605100.0,Janssen
05/02/2022,62406900.0,Janssen
05/03/2021,39605100.0,Janssen
05/03/2022,62419900.0,Janssen
05/04/2021,40428000.0,Janssen
05/04/2022,62429000.0,Janssen
05/05/2021,40783000.0,Janssen
05/05/2022,62446500.0,Janssen
05/06/2021,41629900.0,Janssen
05/06/2022,62459300.0,Janssen
05/07/2021,41886300.0,Janssen
05/07/2022,62481500.0,Janssen
05/08/2021,42100100.0,Janssen
05/08/2022,62481500.0,Janssen
05/09/2021,42107300.0,Janssen
05/09/2022,62481500.0,Janssen
05/10/2021,42107300.0,Janssen
05/10/2022,62493500.0,Janssen
05/11/2021,42502100.0,Janssen
05/11/2022,62498100.0,Janssen
05/12/2021,42592900.0,Janssen
05/12/2022,62540800.0,Janssen
05/13/2021,42838900.0,Janssen
05/13/2022,62543800.0,Janssen
05/14/2021,43302000.0,Janssen
05/14/2022,62558800.0,Janssen
05/15/2021,43444600.0,Janssen
05/15/2022,62558800.0,Janssen
05/16/2021,43444700.0,Janssen
05/16/2022,62558800.0,Janssen
05/17/2021,43448400.0,Janssen
05/17/2022,62563700.0,Janssen
05/18/2021,43552200.0,Janssen
05/18/2022,62572900.0,Janssen
05/19/2021,43729700.0,Janssen
05/19/2022,62579300.0,Janssen
05/20/2021,44129500.0,Janssen
05/20/2022,62586900.0,Janssen
05/21/2021,44353100.0,Janssen
05/21/2022,62599300.0,Janssen
05/22/2021,44541500.0,Janssen
05/22/2022,62599300.0,Janssen
05/23/2021,44542300.0,Janssen
05/23/2022,62599300.0,Janssen
05/24/2021,44542300.0,Janssen
05/24/2022,62604700.0,Janssen
05/25/2021,44718600.0,Janssen
05/25/2022,62608900.0,Janssen
05/26/2021,44785500.0,Janssen
05/26/2022,62639900.0,Janssen
05/27/2021,45081300.0,Janssen
05/27/2022,62644900.0,Janssen
05/28/2021,45178000.0,Janssen
05/28/2022,62659500.0,Janssen
05/29/2021,45516700.0,Janssen
05/29/2022,62659500.0,Janssen
