Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Novavax,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_5Plus,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_5Plus,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Novavax,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_5Plus,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Novavax,Series_Complete_Unk_Manuf,Series_Complete_Janssen_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Unk_Manuf_5Plus,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_5Plus,Additional_Doses_5Plus_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Second_Booster,Second_Booster_50Plus,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus,Second_Booster_65Plus_Vax_Pct,Second_Booster_Janssen,Second_Booster_Moderna,Second_Booster_Pfizer,Second_Booster_Unk_Manuf,Administered_Bivalent,Admin_Bivalent_PFR,Admin_Bivalent_MOD,Dist_Bivalent_PFR,Dist_Bivalent_MOD,Bivalent_Booster_5Plus,Bivalent_Booster_5Plus_Pop_Pct,Bivalent_Booster_12Plus,Bivalent_Booster_12Plus_Pop_Pct,Bivalent_Booster_18Plus,Bivalent_Booster_18Plus_Pop_Pct,Bivalent_Booster_65Plus,Bivalent_Booster_65Plus_Pop_Pct
2023-02-01,5,NV,7534780,260300,2532600,4735980,5900.0,0,244623,260306.0,287389,315591,1519200,5544497,5530215.0,5384663,5066727,1489429,189030,1896413,3457879,497.0,678.0,180007,191054.0,205380,212217,300305,5530190,2388156,77.5,2380868.0,82.3,2306363,88.0,2148795,90.0,516637,95.0,1960778,63.7,1957314.0,67.6,1898289,72.4,1773367,74.3,441686,89.1,173989,629415,1155577,176.0,224.0,173986.0,627578.0,1155351.0,223.0,173985,627347,1096562,219.0,173936,627095,971950,212.0,26239,200651,214679,76.0,857091.0,43.7,857041.0,43.8,847829.0,44.7,818901.0,46.2,537342.0,59.8,302606.0,68.5,335880.0,508296.0,12798.0,93.0,,258328.0,48.1,168763.0,55.8,57.0,126372.0,189462.0,44.0,,,,,,368957.0,12.7,363530.0,13.9,354242.0,14.8,171735.0,34.6
2023-02-01,5,ID,4621280,160100,1770980,2674700,15500.0,0,258596,276580.0,309032,345164,1589870,2860856,2849147.0,2771052,2616172,908708,90447,1077942,1686610,465.0,5392.0,160087,170519.0,185304,195402,312625,2893276,1141412,63.9,1135234.0,67.9,1096861,73.3,1024503,76.5,286981,95.0,1008024,56.4,1005426.0,60.2,971901,65.0,906770,67.7,262722,90.4,83271,344911,577247,211.0,1133.0,83260.0,343578.0,577244.0,1133.0,83260,343406,543902,1122.0,83242,343153,479066,1110.0,12424,121246,128635,393.0,489250.0,48.5,489240.0,48.7,481667.0,49.6,462929.0,51.1,315395.0,64.7,191330.0,72.8,201599.0,280759.0,6592.0,260.0,,169497.0,53.7,115696.0,60.5,100.0,86507.0,123066.0,99.0,,,,,,231111.0,13.8,227202.0,15.2,220198.0,16.4,115718.0,39.8
2023-02-01,5,MA,22976680,632300,8720980,13611600,11800.0,0,333358,351587.0,381879,414764,1964940,17968608,17806984.0,17050693,15961921,4513523,408997,7116935,10441037,1183.0,456.0,260698,272480.0,283387,288137,385992,18040703,7349623,95.0,7268599.0,95.0,6913327,95.0,6432605,95.0,1543218,95.0,5801679,84.2,5752474.0,88.0,5465092,90.8,5073013,91.6,1225274,95.0,386064,2061056,3339051,336.0,335.0,386059.0,2034601.0,3331144.0,334.0,386034,2030681,3047714,327.0,384726,2024236,2663434,298.0,74760,557726,592667,84.0,3275118.0,56.5,3272003.0,56.9,3181883.0,58.2,3007319.0,59.3,1764322.0,68.7,919473.0,75.0,1451742.0,1795367.0,27849.0,74.0,,994902.0,56.4,588913.0,64.0,284.0,653874.0,777554.0,22.0,,,,,,1991820.0,30.5,1931246.0,32.1,1843275.0,33.3,724920.0,62.0
2023-02-01,5,SC,13784615,465300,5606740,7669175,43400.0,0,267729,283853.0,311871,341412,1471110,8599247,8565317.0,8350205,7919433,2847384,233824,3364705,4996842,648.0,3228.0,167017,176377.0,188920,196145,303876,8639968,3653247,71.0,3635070.0,74.9,3522490,79.7,3309729,82.0,993000,95.0,3081610,59.9,3072939.0,63.3,2983229,67.5,2803849,69.4,858833,91.7,211385,1099066,1766560,247.0,931.0,211337.0,1096383.0,1764048.0,924.0,211334,1095858,1674874,916.0,210714,1093116,1498998,781.0,31512,368289,458749,246.0,1377533.0,44.7,1377190.0,44.8,1362619.0,45.7,1320592.0,47.1,961529.0,59.5,591057.0,68.8,583494.0,770261.0,23059.0,675.0,,429729.0,44.7,301689.0,51.0,261.0,222683.0,276658.0,56.0,,,,,,558900.0,11.5,551819.0,12.5,539355.0,13.4,307664.0,32.8
2023-02-01,5,TX,78580705,2663600,27850340,47972665,94100.0,0,271006,290986.0,326046,363866,2104340,51907044,51646222.0,49382633,45410909,11306576,1548341,18815990,31485120,5636.0,51957.0,179015,191247.0,204898,210274,302782,50753671,22128938,76.3,21985511.0,81.4,20809633,86.3,18878612,87.4,3746471,95.0,18321481,63.2,18290756.0,67.7,17468841,72.5,15952480,73.9,3320093,88.9,1354109,6231570,10718613,1751.0,14927.0,1353868.0,6203163.0,10717157.0,14817.0,1353790,6199910,9899461,13938.0,1352248,6193077,8393568,11938.0,176757,1565535,1574332,3253.0,7383880.0,40.3,7383521.0,40.4,7243350.0,41.5,6998460.0,43.9,4308145.0,58.4,2255829.0,67.9,3292718.0,3989543.0,95523.0,5722.0,,2028761.0,47.1,1230144.0,54.5,106.0,1182647.0,1443693.0,1970.0,,,,,,2913660.0,10.8,2850209.0,11.8,2748383.0,12.7,1166728.0,31.2
2023-02-01,5,WA,24630715,776900,8736300,15086115,31400.0,0,323455,344080.0,378880,413834,2036060,17473961,17306639.0,16607142,15574378,4483035,494549,6409176,10548187,3201.0,18848.0,229471,241766.0,255458,261674,370584,17681108,6484627,85.2,6403909.0,89.5,6101141,93.9,5674937,95.0,1295274,95.0,5785380,76.0,5735709.0,80.1,5468073,84.1,5079778,85.3,1185593,95.0,459767,1984307,3317936,1005.0,6753.0,459736.0,1952774.0,3315479.0,6715.0,459707,1950696,3050201,6466.0,459332,1949317,2664085,6072.0,59542,532851,590729,2337.0,3368742.0,58.2,3363901.0,58.6,3265208.0,59.7,3097073.0,61.0,1773373.0,73.3,962721.0,81.2,1371784.0,1955184.0,39392.0,2170.0,,1131586.0,63.8,686270.0,71.3,775.0,639164.0,1031362.0,838.0,,,,,,1819749.0,25.4,1760591.0,27.1,1690434.0,28.4,668423.0,55.3
2023-02-01,5,OK,9458400,339700,3901480,5193920,23300.0,0,239031,255533.0,284444,314783,1489200,6718645,6700209.0,6534197,6160476,1974621,157673,2694033,3854903,810.0,11226.0,169793,181016.0,196504,205026,310899,6700660,2950102,74.6,2939913.0,79.4,2854314,85.8,2669751,88.9,713385,95.0,2390776,60.4,2386216.0,64.5,2318441,69.7,2166233,72.1,592781,93.3,147551,899846,1339313,286.0,2330.0,147536.0,896894.0,1339181.0,2319.0,147531,896380,1272031,2213.0,147435,895715,1120795,2013.0,20954,299262,271911,617.0,996039.0,41.7,995889.0,41.7,984945.0,42.5,953340.0,44.0,659204.0,57.0,394401.0,66.5,438656.0,542968.0,12550.0,1816.0,,295329.0,44.8,203911.0,51.7,178.0,157368.0,198369.0,1554.0,,,,,,444173.0,12.0,438427.0,13.2,427430.0,14.2,225520.0,35.5
2023-02-01,5,AK,2100055,86200,786720,1222135,5000.0,0,287071,308621.0,344906,380747,2292940,1314171,1305157.0,1251809,1166282,283928,46296,503372,762748,266.0,1489.0,179643,191804.0,205593,211451,310006,1330237,533555,72.9,528607.0,77.7,503493,82.7,465944,84.5,90657,95.0,476024,65.1,473357.0,69.6,451754,74.2,417589,75.7,81788,89.3,42421,167466,264954,86.0,391.0,42419.0,165847.0,264614.0,391.0,42417,165605,243268,379.0,42248,165138,209767,357.0,3732,44703,33251,87.0,234720.0,49.3,234686.0,49.6,229655.0,50.8,217376.0,52.1,126191.0,67.8,64026.0,78.3,98499.0,132883.0,3149.0,166.0,,67264.0,53.3,39237.0,61.3,63.0,40110.0,51417.0,44.0,,,,,,94870.0,13.9,92393.0,15.2,88370.0,16.0,36839.0,40.2
2023-02-01,5,LA,10089520,330100,4076780,5674240,8400.0,0,217035,232086.0,257168,283321,1361570,6912503,6897448.0,6750324,6399454,2071297,202011,2808528,3897446,659.0,3859.0,148695,158660.0,172057,179701,279519,6893198,2917165,62.8,2909431.0,66.9,2827867,72.1,2650516,74.4,686589,92.7,2556144,55.0,2552751.0,58.7,2492788,63.5,2345909,65.9,646703,87.3,183470,982842,1386460,217.0,1547.0,183448.0,981193.0,1386352.0,1542.0,183432,980942,1326699,1499.0,183224,980221,1180827,1431.0,22538,307969,315941,232.0,1102422.0,43.1,1102319.0,43.2,1096430.0,44.0,1069907.0,45.6,763575.0,59.2,448682.0,69.4,484280.0,603784.0,13997.0,304.0,,308457.0,40.4,209711.0,46.7,177.0,154238.0,206269.0,63.0,,,,,,322609.0,7.4,319948.0,8.2,314715.0,8.8,168019.0,22.7
2023-02-01,5,MO,15258265,439800,5705360,9097005,16100.0,0,248610,264471.0,291427,320092,1436700,10417696,10353291.0,10048889,9506061,3241079,254061,3753661,6406382,917.0,2675.0,169740,179453.0,191930,199420,305176,10399791,4251715,69.3,4221030.0,73.2,4068507,77.7,3814683,80.0,1055288,95.0,3620874,59.0,3604528.0,62.5,3483474,66.5,3267100,68.5,941114,88.6,241271,1225419,2144250,376.0,1388.0,241255.0,1218608.0,2142907.0,1382.0,241237,1218023,2022542,1297.0,240978,1217112,1807664,986.0,40391,427388,473065,228.0,1717031.0,47.4,1716287.0,47.6,1688845.0,48.5,1627357.0,49.8,1120858.0,61.8,670105.0,71.2,679227.0,1019206.0,18264.0,283.0,,583672.0,52.1,397389.0,59.3,233.0,288905.0,432484.0,45.0,,,,,,847647.0,14.7,831988.0,15.9,808897.0,17.0,410417.0,38.6
